Orthogroup	Prac	Syah
OG0000045	Prac.g_01576	Syah.g_02356
OG0000047	Prac.g_01601, Prac.g_01127	Syah.g_00847
OG0000048	Prac.g_01159	Syah.g_00637
OG0000050	Prac.g_01220	Syah.g_00941
OG0000053	Prac.g_01901, Prac.g_00391	Syah.g_01267
OG0000054	Prac.g_00765	Syah.g_01982, Syah.g_01862
OG0000055	Prac.g_01495	Syah.g_01878, Syah.g_02071
OG0000057	Prac.g_00673	Syah.g_02020
OG0000059	Prac.g_00500	Syah.g_00737
OG0000061	Prac.g_00985	Syah.g_02158
OG0000062	Prac.g_00333	Syah.g_02365
OG0000063	Prac.g_01913, Prac.g_01914, Prac.g_00908	Syah.g_00337
OG0000065	Prac.g_01824	Syah.g_02537, Syah.g_02443
OG0000066	Prac.g_00833	Syah.g_01073
OG0000067	Prac.g_01475	Syah.g_01779
OG0000068	Prac.g_00217	Syah.g_00986
OG0000069	Prac.g_00890, Prac.g_00300	Syah.g_01715
OG0000070	Prac.g_01097	Syah.g_02217
OG0000071	Prac.g_00175	Syah.g_01863, Syah.g_02199
OG0000072	Prac.g_01759	Syah.g_00080
OG0000073	Prac.g_00872	Syah.g_01018
OG0000074	Prac.g_00689	Syah.g_00951
OG0000075	Prac.g_00017	Syah.g_00186
OG0000076	Prac.g_01904, Prac.g_00041	Syah.g_00250
OG0000077	Prac.g_01853	Syah.g_02494
OG0000078	Prac.g_01691	Syah.g_00912
OG0000081	Prac.g_00841	Syah.g_00922, Syah.g_02471
OG0000082	Prac.g_00788	Syah.g_01136
OG0000084	Prac.g_00415	Syah.g_02105, Syah.g_01296
OG0000085	Prac.g_00632	Syah.g_02372
OG0000086	Prac.g_01843	Syah.g_02511
OG0000087	Prac.g_01792	Syah.g_00038
OG0000088	Prac.g_01764	Syah.g_00074
OG0000089	Prac.g_01178	Syah.g_00888
OG0000090	Prac.g_00839	Syah.g_01064
OG0000091	Prac.g_00729	Syah.g_01927
OG0000093	Prac.g_01359	Syah.g_01794
OG0000094	Prac.g_01275	Syah.g_01692
OG0000095	Prac.g_01256	Syah.g_02030
OG0000097	Prac.g_00944	Syah.g_01400
OG0000098	Prac.g_00199	Syah.g_00723
OG0000099	Prac.g_00256	Syah.g_00144
OG0000100	Prac.g_00337	Syah.g_01747
OG0000101	Prac.g_00548	Syah.g_00785
OG0000102	Prac.g_00046	Syah.g_00255
OG0000103	Prac.g_00123	Syah.g_00391
OG0000104	Prac.g_00131	Syah.g_00377
OG0000105	Prac.g_01657	Syah.g_00632
OG0000106	Prac.g_01163	Syah.g_01544
OG0000107	Prac.g_01148	Syah.g_00688
OG0000108	Prac.g_01064	Syah.g_00997
OG0000109	Prac.g_01050	Syah.g_01012
OG0000110	Prac.g_00798	Syah.g_01124
OG0000111	Prac.g_00672	Syah.g_02021
OG0000112	Prac.g_01507	Syah.g_01613
OG0000113	Prac.g_01453	Syah.g_01752
OG0000114	Prac.g_01384	Syah.g_01529
OG0000115	Prac.g_01040	Syah.g_01269
OG0000116	Prac.g_00995	Syah.g_02175
OG0000117	Prac.g_01955	Syah.g_01425
OG0000118	Prac.g_00187	Syah.g_01173
OG0000120	Prac.g_00248	Syah.g_00145
OG0000121	Prac.g_00409	Syah.g_01287
OG0000122	Prac.g_00371	Syah.g_01900
OG0000123	Prac.g_00554	Syah.g_00793
OG0000124	Prac.g_00056	Syah.g_00272
OG0000125	Prac.g_00092	Syah.g_00504
OG0000126	Prac.g_00130	Syah.g_00379
OG0000128	Prac.g_01936	Syah.g_00361
OG0000129	Prac.g_01888	Syah.g_00516
OG0000130	Prac.g_01862	Syah.g_02483
OG0000131	Prac.g_01785	Syah.g_00052
OG0000132	Prac.g_01766	Syah.g_00072
OG0000133	Prac.g_01609	Syah.g_01618
OG0000134	Prac.g_01177	Syah.g_00891
OG0000135	Prac.g_01150	Syah.g_00465
OG0000136	Prac.g_01106	Syah.g_02227
OG0000137	Prac.g_01069	Syah.g_01221
OG0000138	Prac.g_01049	Syah.g_01013
OG0000139	Prac.g_00835	Syah.g_01070
OG0000140	Prac.g_00834	Syah.g_01071
OG0000141	Prac.g_00764	Syah.g_01981
OG0000142	Prac.g_00736	Syah.g_01935
OG0000143	Prac.g_00732	Syah.g_01931
OG0000144	Prac.g_00719	Syah.g_01824
OG0000145	Prac.g_01508	Syah.g_01019
OG0000146	Prac.g_01506	Syah.g_01612
OG0000147	Prac.g_01505	Syah.g_01611
OG0000148	Prac.g_01459	Syah.g_01758
OG0000149	Prac.g_01429	Syah.g_02096
OG0000150	Prac.g_01421	Syah.g_01980
OG0000151	Prac.g_01374	Syah.g_01820
OG0000152	Prac.g_01327	Syah.g_01622
OG0000153	Prac.g_01308	Syah.g_01656
OG0000154	Prac.g_01282	Syah.g_01682
OG0000155	Prac.g_00965	Syah.g_02123
OG0000156	Prac.g_00164	Syah.g_02185
OG0000157	Prac.g_00165	Syah.g_02186
OG0000158	Prac.g_00447	Syah.g_00204
OG0000160	Prac.g_00410	Syah.g_01289
OG0000161	Prac.g_00404	Syah.g_01282
OG0000162	Prac.g_00398	Syah.g_01276
OG0000163	Prac.g_00364	Syah.g_02315
OG0000164	Prac.g_00601	Syah.g_02423
OG0000165	Prac.g_00594	Syah.g_02251
OG0000166	Prac.g_00512	Syah.g_00747
OG0000167	Prac.g_00015	Syah.g_00183
OG0000168	Prac.g_00025	Syah.g_00205
OG0000169	Prac.g_00035	Syah.g_00237
OG0000170	Prac.g_00037	Syah.g_00245
OG0000171	Prac.g_00055	Syah.g_00271
OG0000172	Prac.g_00063	Syah.g_00293
OG0000173	Prac.g_00078	Syah.g_00313
OG0000174	Prac.g_00105	Syah.g_00461
OG0000175	Prac.g_00115	Syah.g_00402
OG0000176	Prac.g_01943	Syah.g_00369
OG0000177	Prac.g_01942	Syah.g_00368
OG0000178	Prac.g_01941	Syah.g_00367
OG0000179	Prac.g_01931	Syah.g_00355
OG0000180	Prac.g_01930	Syah.g_00354
OG0000181	Prac.g_01929	Syah.g_00353
OG0000182	Prac.g_01928	Syah.g_00352
OG0000183	Prac.g_01924	Syah.g_00348
OG0000184	Prac.g_01885	Syah.g_00525
OG0000185	Prac.g_01882	Syah.g_00528
OG0000186	Prac.g_01867	Syah.g_02479
OG0000187	Prac.g_01866	Syah.g_02480
OG0000188	Prac.g_01849	Syah.g_02501
OG0000189	Prac.g_01835	Syah.g_02526
OG0000190	Prac.g_01834	Syah.g_02528
OG0000191	Prac.g_01814	Syah.g_00008
OG0000192	Prac.g_01810	Syah.g_00013
OG0000193	Prac.g_01784	Syah.g_00053
OG0000194	Prac.g_01781	Syah.g_00056
OG0000195	Prac.g_01779	Syah.g_00058
OG0000196	Prac.g_01769	Syah.g_00069
OG0000197	Prac.g_01768	Syah.g_00070
OG0000198	Prac.g_01767	Syah.g_00071
OG0000199	Prac.g_01760	Syah.g_00079
OG0000200	Prac.g_01746	Syah.g_00616
OG0000201	Prac.g_01738	Syah.g_00601
OG0000202	Prac.g_01737	Syah.g_00600
OG0000203	Prac.g_01736	Syah.g_00599
OG0000204	Prac.g_01735	Syah.g_00598
OG0000205	Prac.g_01728	Syah.g_00591
OG0000206	Prac.g_01723	Syah.g_00578
OG0000207	Prac.g_01721	Syah.g_00575
OG0000208	Prac.g_01720	Syah.g_00574
OG0000209	Prac.g_01711	Syah.g_00544
OG0000210	Prac.g_01710	Syah.g_00543
OG0000211	Prac.g_01697	Syah.g_00904
OG0000212	Prac.g_01690	Syah.g_00913
OG0000213	Prac.g_01674	Syah.g_00657
OG0000214	Prac.g_01664	Syah.g_00641
OG0000215	Prac.g_01639	Syah.g_00101
OG0000216	Prac.g_01637	Syah.g_00105
OG0000217	Prac.g_01634	Syah.g_00109
OG0000218	Prac.g_01632	Syah.g_00111
OG0000219	Prac.g_01631	Syah.g_00112
OG0000220	Prac.g_01630	Syah.g_00113
OG0000221	Prac.g_01629	Syah.g_00120
OG0000222	Prac.g_01621	Syah.g_00131
OG0000223	Prac.g_01608	Syah.g_00153
OG0000224	Prac.g_01606	Syah.g_00162
OG0000225	Prac.g_01188	Syah.g_00874
OG0000226	Prac.g_01184	Syah.g_00878
OG0000227	Prac.g_01182	Syah.g_00880
OG0000228	Prac.g_01179	Syah.g_00887
OG0000229	Prac.g_01111	Syah.g_02236
OG0000230	Prac.g_01109	Syah.g_02234
OG0000231	Prac.g_01098	Syah.g_02218
OG0000232	Prac.g_01089	Syah.g_01206
OG0000233	Prac.g_01082	Syah.g_01210
OG0000234	Prac.g_01068	Syah.g_01222
OG0000235	Prac.g_01065	Syah.g_00996
OG0000236	Prac.g_01051	Syah.g_01011
OG0000237	Prac.g_00865	Syah.g_01028
OG0000238	Prac.g_00859	Syah.g_01032
OG0000239	Prac.g_00847	Syah.g_01048
OG0000240	Prac.g_00846	Syah.g_01049
OG0000241	Prac.g_00842	Syah.g_01944
OG0000242	Prac.g_00840	Syah.g_01062
OG0000243	Prac.g_00829	Syah.g_01079
OG0000244	Prac.g_00826	Syah.g_01087
OG0000245	Prac.g_00824	Syah.g_01090
OG0000246	Prac.g_00820	Syah.g_01094
OG0000247	Prac.g_00810	Syah.g_01106
OG0000248	Prac.g_00808	Syah.g_01109
OG0000249	Prac.g_00806	Syah.g_01111
OG0000250	Prac.g_00801	Syah.g_01120
OG0000251	Prac.g_00782	Syah.g_01145
OG0000252	Prac.g_00778	Syah.g_01148
OG0000253	Prac.g_00777	Syah.g_01149
OG0000254	Prac.g_00760	Syah.g_01976
OG0000255	Prac.g_00754	Syah.g_01968
OG0000256	Prac.g_00744	Syah.g_01952
OG0000257	Prac.g_00741	Syah.g_01945
OG0000258	Prac.g_00728	Syah.g_01926
OG0000259	Prac.g_00711	Syah.g_01494
OG0000260	Prac.g_00708	Syah.g_01497
OG0000261	Prac.g_00706	Syah.g_01500
OG0000262	Prac.g_00702	Syah.g_01505
OG0000263	Prac.g_00690	Syah.g_01410
OG0000264	Prac.g_00680	Syah.g_02000
OG0000265	Prac.g_01560	Syah.g_02252
OG0000266	Prac.g_01550	Syah.g_01714
OG0000267	Prac.g_01539	Syah.g_01574
OG0000268	Prac.g_01538	Syah.g_01575
OG0000269	Prac.g_01480	Syah.g_01784
OG0000270	Prac.g_01477	Syah.g_01781
OG0000271	Prac.g_01469	Syah.g_01773
OG0000272	Prac.g_01468	Syah.g_01772
OG0000273	Prac.g_01445	Syah.g_02075
OG0000274	Prac.g_01444	Syah.g_02076
OG0000275	Prac.g_01442	Syah.g_02081
OG0000276	Prac.g_01437	Syah.g_02088
OG0000277	Prac.g_01436	Syah.g_02089
OG0000278	Prac.g_01433	Syah.g_02092
OG0000279	Prac.g_01426	Syah.g_02100
OG0000280	Prac.g_01425	Syah.g_02112
OG0000281	Prac.g_01420	Syah.g_00722
OG0000282	Prac.g_01382	Syah.g_01531
OG0000283	Prac.g_01350	Syah.g_01585
OG0000284	Prac.g_01345	Syah.g_01591
OG0000285	Prac.g_01340	Syah.g_01603
OG0000286	Prac.g_01328	Syah.g_01621
OG0000287	Prac.g_01311	Syah.g_01231, Syah.g_01649
OG0000288	Prac.g_01283	Syah.g_01681
OG0000289	Prac.g_01272	Syah.g_01695
OG0000290	Prac.g_01259	Syah.g_02033
OG0000291	Prac.g_01257	Syah.g_02031
OG0000292	Prac.g_01207	Syah.g_00380
OG0000293	Prac.g_00994	Syah.g_02173
OG0000294	Prac.g_00993	Syah.g_02172
OG0000295	Prac.g_00973	Syah.g_02131
OG0000296	Prac.g_00971	Syah.g_02129
OG0000297	Prac.g_00963	Syah.g_01427
OG0000298	Prac.g_00962	Syah.g_01426
OG0000299	Prac.g_00945	Syah.g_01404
OG0000300	Prac.g_00942	Syah.g_01397
OG0000301	Prac.g_00941	Syah.g_01396
OG0000302	Prac.g_00939	Syah.g_01395
OG0000303	Prac.g_00932	Syah.g_01387
OG0000304	Prac.g_00928	Syah.g_01382
OG0000305	Prac.g_00209	Syah.g_02028
OG0000306	Prac.g_00212	Syah.g_02116
OG0000307	Prac.g_00226	Syah.g_00978
OG0000308	Prac.g_00227	Syah.g_00976
OG0000309	Prac.g_00231	Syah.g_00971
OG0000310	Prac.g_00426	Syah.g_01321
OG0000311	Prac.g_00424	Syah.g_01317
OG0000312	Prac.g_00421	Syah.g_01304
OG0000313	Prac.g_00407	Syah.g_01285
OG0000314	Prac.g_00384	Syah.g_01259
OG0000315	Prac.g_00374	Syah.g_01248
OG0000316	Prac.g_00354	Syah.g_02333
OG0000317	Prac.g_00627	Syah.g_02380
OG0000318	Prac.g_00624	Syah.g_02385
OG0000319	Prac.g_00611	Syah.g_02405
OG0000320	Prac.g_00609	Syah.g_02407
OG0000321	Prac.g_00608	Syah.g_02408
OG0000322	Prac.g_00607	Syah.g_02409
OG0000323	Prac.g_00598	Syah.g_02425
OG0000324	Prac.g_00572	Syah.g_02278
OG0000325	Prac.g_00477	Syah.g_00689
OG0000326	Prac.g_00483	Syah.g_00696
OG0000327	Prac.g_00507	Syah.g_00742
OG0000328	Prac.g_00508	Syah.g_00743
OG0000329	Prac.g_00525	Syah.g_00760
OG0000330	Prac.g_00526	Syah.g_00761
OG0000331	Prac.g_00527	Syah.g_00762
OG0000332	Prac.g_00541	Syah.g_00776
OG0000333	Prac.g_00543	Syah.g_00779
OG0000334	Prac.g_00551	Syah.g_00789
OG0000335	Prac.g_00555	Syah.g_00794
OG0000336	Prac.g_00559	Syah.g_00798
OG0000337	Prac.g_00013	Syah.g_00178
OG0000338	Prac.g_00014	Syah.g_00181
OG0000339	Prac.g_00018	Syah.g_00188
OG0000340	Prac.g_00026	Syah.g_00206
OG0000341	Prac.g_00028	Syah.g_00208
OG0000342	Prac.g_00029	Syah.g_00209
OG0000343	Prac.g_00030	Syah.g_00231
OG0000344	Prac.g_00033	Syah.g_00235
OG0000345	Prac.g_00038	Syah.g_00246
OG0000346	Prac.g_00042	Syah.g_00251
OG0000347	Prac.g_00057	Syah.g_00275
OG0000348	Prac.g_00066	Syah.g_00301
OG0000349	Prac.g_00083	Syah.g_00320
OG0000350	Prac.g_00101	Syah.g_00703
OG0000351	Prac.g_00118	Syah.g_00399
OG0000352	Prac.g_00119	Syah.g_00398
OG0000353	Prac.g_01948	Syah.g_00374
OG0000355	Prac.g_01946	Syah.g_00372
OG0000356	Prac.g_01945	Syah.g_00371
OG0000357	Prac.g_01944	Syah.g_00370
OG0000358	Prac.g_01940	Syah.g_00366
OG0000359	Prac.g_01939	Syah.g_00364
OG0000360	Prac.g_01938	Syah.g_00363
OG0000361	Prac.g_01937	Syah.g_00362
OG0000362	Prac.g_01935	Syah.g_00360
OG0000363	Prac.g_01933	Syah.g_00358
OG0000364	Prac.g_01932	Syah.g_00357
OG0000365	Prac.g_01927	Syah.g_00351
OG0000366	Prac.g_01926	Syah.g_00350
OG0000367	Prac.g_01925	Syah.g_00349
OG0000368	Prac.g_01923	Syah.g_00347
OG0000369	Prac.g_01922	Syah.g_00346
OG0000370	Prac.g_01921	Syah.g_00345
OG0000371	Prac.g_01915	Syah.g_00338
OG0000372	Prac.g_01911	Syah.g_00333
OG0000373	Prac.g_01910	Syah.g_00332
OG0000374	Prac.g_01909	Syah.g_00331
OG0000375	Prac.g_01892	Syah.g_00329
OG0000376	Prac.g_01890	Syah.g_00327
OG0000377	Prac.g_01886	Syah.g_00517
OG0000378	Prac.g_01884	Syah.g_00526
OG0000379	Prac.g_01881	Syah.g_00529
OG0000380	Prac.g_01865	Syah.g_02481
OG0000381	Prac.g_01861	Syah.g_02484
OG0000382	Prac.g_01850	Syah.g_02500
OG0000383	Prac.g_01848	Syah.g_02502
OG0000384	Prac.g_01847	Syah.g_02503
OG0000385	Prac.g_01846	Syah.g_02504
OG0000386	Prac.g_01845	Syah.g_02505
OG0000387	Prac.g_01832	Syah.g_02530
OG0000388	Prac.g_01829	Syah.g_02533
OG0000389	Prac.g_01825	Syah.g_02536
OG0000390	Prac.g_01818	Syah.g_00002
OG0000391	Prac.g_01815	Syah.g_00007
OG0000392	Prac.g_01811	Syah.g_00012
OG0000393	Prac.g_01809	Syah.g_00014
OG0000394	Prac.g_01808	Syah.g_00015
OG0000395	Prac.g_01807	Syah.g_00016
OG0000396	Prac.g_01804	Syah.g_00019
OG0000397	Prac.g_01802	Syah.g_00021
OG0000398	Prac.g_01800	Syah.g_00027
OG0000399	Prac.g_01799	Syah.g_00028
OG0000400	Prac.g_01798	Syah.g_00029
OG0000401	Prac.g_01797	Syah.g_00030
OG0000402	Prac.g_01795	Syah.g_00033
OG0000403	Prac.g_01794	Syah.g_00034
OG0000404	Prac.g_01793	Syah.g_00036
OG0000405	Prac.g_01789	Syah.g_00050
OG0000406	Prac.g_01783	Syah.g_00054
OG0000407	Prac.g_01782	Syah.g_00055
OG0000408	Prac.g_01780	Syah.g_00057
OG0000409	Prac.g_01778	Syah.g_00059
OG0000410	Prac.g_01777	Syah.g_00060
OG0000411	Prac.g_01776	Syah.g_00061
OG0000412	Prac.g_01775	Syah.g_00062
OG0000413	Prac.g_01774	Syah.g_00064
OG0000414	Prac.g_01590, Prac.g_01773	Syah.g_00065
OG0000415	Prac.g_01772	Syah.g_00066
OG0000416	Prac.g_01771	Syah.g_00067
OG0000417	Prac.g_01770	Syah.g_00068
OG0000418	Prac.g_01765	Syah.g_00073
OG0000419	Prac.g_01763	Syah.g_00075
OG0000420	Prac.g_01762	Syah.g_00077
OG0000421	Prac.g_01757	Syah.g_00082
OG0000422	Prac.g_01756	Syah.g_00083
OG0000423	Prac.g_01755	Syah.g_00084
OG0000424	Prac.g_01754	Syah.g_00085
OG0000425	Prac.g_01753	Syah.g_00086
OG0000426	Prac.g_01752	Syah.g_00087
OG0000427	Prac.g_01751	Syah.g_00088
OG0000428	Prac.g_01749	Syah.g_00620
OG0000429	Prac.g_01748	Syah.g_00618
OG0000430	Prac.g_01747	Syah.g_00617
OG0000431	Prac.g_01745	Syah.g_00613
OG0000432	Prac.g_01742	Syah.g_00607
OG0000433	Prac.g_01741	Syah.g_00605
OG0000434	Prac.g_01740	Syah.g_00604
OG0000435	Prac.g_01739	Syah.g_00602
OG0000436	Prac.g_01734	Syah.g_00597
OG0000437	Prac.g_01733	Syah.g_00596
OG0000438	Prac.g_01732	Syah.g_00595
OG0000439	Prac.g_01730	Syah.g_00593
OG0000440	Prac.g_01729	Syah.g_00592
OG0000441	Prac.g_01726	Syah.g_00585
OG0000442	Prac.g_01725	Syah.g_00580
OG0000443	Prac.g_01724	Syah.g_00579
OG0000444	Prac.g_01719	Syah.g_00573
OG0000445	Prac.g_01718	Syah.g_00572
OG0000446	Prac.g_01717	Syah.g_00570
OG0000447	Prac.g_01716	Syah.g_00567
OG0000448	Prac.g_01715	Syah.g_00566
OG0000449	Prac.g_01714	Syah.g_00565
OG0000450	Prac.g_01713	Syah.g_00547
OG0000451	Prac.g_01712	Syah.g_00546
OG0000452	Prac.g_01709	Syah.g_00542
OG0000453	Prac.g_01708	Syah.g_00541
OG0000454	Prac.g_01707	Syah.g_00540
OG0000455	Prac.g_01706	Syah.g_00539
OG0000456	Prac.g_01705	Syah.g_00538
OG0000457	Prac.g_01704	Syah.g_00536
OG0000458	Prac.g_01703	Syah.g_00535
OG0000459	Prac.g_01702	Syah.g_00534
OG0000460	Prac.g_01695	Syah.g_00906
OG0000461	Prac.g_01688	Syah.g_00678
OG0000462	Prac.g_01686	Syah.g_00675
OG0000463	Prac.g_01685	Syah.g_00674
OG0000464	Prac.g_01684	Syah.g_00673
OG0000465	Prac.g_01683	Syah.g_00672
OG0000466	Prac.g_01680	Syah.g_00668
OG0000467	Prac.g_01679	Syah.g_00666
OG0000468	Prac.g_01678	Syah.g_00661
OG0000469	Prac.g_01669	Syah.g_00647
OG0000470	Prac.g_01667	Syah.g_00645
OG0000471	Prac.g_01666	Syah.g_00644
OG0000472	Prac.g_01665	Syah.g_00642
OG0000473	Prac.g_01663	Syah.g_00640
OG0000474	Prac.g_01662	Syah.g_00639
OG0000475	Prac.g_01661	Syah.g_00638
OG0000476	Prac.g_01660	Syah.g_00636
OG0000477	Prac.g_01656	Syah.g_00630
OG0000478	Prac.g_01655	Syah.g_00629
OG0000479	Prac.g_01654	Syah.g_00628
OG0000480	Prac.g_01649	Syah.g_00089
OG0000481	Prac.g_01647	Syah.g_00091
OG0000482	Prac.g_01646	Syah.g_00092
OG0000483	Prac.g_01643	Syah.g_00096
OG0000484	Prac.g_01642	Syah.g_00097
OG0000485	Prac.g_01641	Syah.g_00098
OG0000486	Prac.g_01640	Syah.g_00099
OG0000487	Prac.g_01636	Syah.g_00106
OG0000488	Prac.g_01633	Syah.g_00110
OG0000489	Prac.g_01628	Syah.g_00121
OG0000490	Prac.g_01623	Syah.g_00129
OG0000491	Prac.g_01622	Syah.g_00130
OG0000492	Prac.g_01620	Syah.g_00132
OG0000493	Prac.g_01619	Syah.g_00133
OG0000494	Prac.g_01618	Syah.g_00134
OG0000495	Prac.g_01617	Syah.g_00135
OG0000496	Prac.g_01616	Syah.g_00136
OG0000497	Prac.g_01615	Syah.g_00137
OG0000498	Prac.g_01614	Syah.g_00138
OG0000499	Prac.g_01613	Syah.g_00139
OG0000500	Prac.g_01612	Syah.g_00140
OG0000501	Prac.g_01610	Syah.g_00143
OG0000502	Prac.g_01607	Syah.g_00155
OG0000503	Prac.g_01200	Syah.g_00858
OG0000504	Prac.g_01199	Syah.g_00860
OG0000505	Prac.g_01198	Syah.g_00861
OG0000506	Prac.g_01196	Syah.g_00863
OG0000507	Prac.g_01193	Syah.g_00869
OG0000508	Prac.g_01189	Syah.g_00873
OG0000509	Prac.g_01187	Syah.g_00875
OG0000510	Prac.g_01186	Syah.g_00876
OG0000511	Prac.g_01185	Syah.g_00877
OG0000512	Prac.g_01183	Syah.g_00879
OG0000513	Prac.g_01176	Syah.g_00892
OG0000514	Prac.g_01116	Syah.g_00899
OG0000515	Prac.g_01115	Syah.g_00900
OG0000516	Prac.g_01114	Syah.g_02231
OG0000517	Prac.g_01112	Syah.g_02237
OG0000518	Prac.g_01101	Syah.g_02221
OG0000519	Prac.g_01100	Syah.g_02220
OG0000520	Prac.g_01099	Syah.g_02219
OG0000521	Prac.g_01094	Syah.g_01202
OG0000522	Prac.g_01092	Syah.g_01204
OG0000523	Prac.g_01091	Syah.g_01205
OG0000524	Prac.g_01084	Syah.g_01207
OG0000525	Prac.g_01081	Syah.g_01212
OG0000526	Prac.g_01080	Syah.g_01215
OG0000527	Prac.g_01071	Syah.g_01219
OG0000528	Prac.g_01066	Syah.g_00991
OG0000529	Prac.g_01063	Syah.g_00998
OG0000530	Prac.g_01060	Syah.g_01001
OG0000531	Prac.g_01059	Syah.g_01002
OG0000532	Prac.g_01057	Syah.g_01005
OG0000533	Prac.g_01056	Syah.g_01006
OG0000534	Prac.g_01055	Syah.g_01007
OG0000535	Prac.g_01054	Syah.g_01008
OG0000536	Prac.g_01053	Syah.g_01009
OG0000537	Prac.g_01052	Syah.g_01010
OG0000538	Prac.g_00871	Syah.g_01021
OG0000539	Prac.g_00870	Syah.g_01022
OG0000540	Prac.g_00869	Syah.g_01023
OG0000541	Prac.g_00868	Syah.g_01024
OG0000542	Prac.g_00866	Syah.g_01027
OG0000543	Prac.g_00864	Syah.g_01029
OG0000545	Prac.g_00861	Syah.g_01031
OG0000546	Prac.g_00858	Syah.g_01033
OG0000547	Prac.g_00857	Syah.g_01035
OG0000548	Prac.g_00856	Syah.g_01036
OG0000549	Prac.g_00854	Syah.g_01042
OG0000550	Prac.g_00849	Syah.g_01046
OG0000551	Prac.g_00845	Syah.g_01051
OG0000552	Prac.g_00844	Syah.g_01052
OG0000553	Prac.g_00843	Syah.g_01054
OG0000554	Prac.g_00838	Syah.g_01065
OG0000555	Prac.g_00830	Syah.g_01078
OG0000556	Prac.g_00828	Syah.g_01084
OG0000557	Prac.g_00827	Syah.g_01086
OG0000558	Prac.g_00825	Syah.g_01088
OG0000559	Prac.g_00821	Syah.g_01093
OG0000560	Prac.g_00818	Syah.g_01096
OG0000561	Prac.g_00817	Syah.g_01097
OG0000562	Prac.g_00816	Syah.g_01098
OG0000563	Prac.g_00815	Syah.g_01099
OG0000564	Prac.g_00814	Syah.g_01100
OG0000565	Prac.g_00811	Syah.g_01104
OG0000566	Prac.g_00809	Syah.g_01108
OG0000567	Prac.g_00805	Syah.g_01112
OG0000568	Prac.g_00804	Syah.g_01116
OG0000569	Prac.g_00803	Syah.g_01117
OG0000570	Prac.g_00802	Syah.g_01118
OG0000571	Prac.g_00800	Syah.g_01122
OG0000572	Prac.g_00787	Syah.g_01137
OG0000573	Prac.g_00780	Syah.g_01146
OG0000574	Prac.g_00779	Syah.g_01147
OG0000575	Prac.g_00775	Syah.g_01151
OG0000576	Prac.g_00772	Syah.g_01153
OG0000577	Prac.g_00771	Syah.g_01154
OG0000578	Prac.g_00770	Syah.g_01155
OG0000579	Prac.g_00769	Syah.g_01156
OG0000580	Prac.g_00768	Syah.g_01157
OG0000581	Prac.g_00766	Syah.g_01163
OG0000582	Prac.g_00763	Syah.g_01979
