Orthogroup	Prac	Syat
OG0000038	Prac.g_00090	Syat.g_02688, Syat.g_02686
OG0000039	Prac.g_00685	Syat.g_01278
OG0000040	Prac.g_01005	Syat.g_02551
OG0000041	Prac.g_00579	Syat.g_00785, Syat.g_03006
OG0000042	Prac.g_00048	Syat.g_00223, Syat.g_02222
OG0000044	Prac.g_00892	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000045	Prac.g_01576	Syat.g_00935
OG0000048	Prac.g_01159	Syat.g_02046
OG0000053	Prac.g_01901, Prac.g_00391	Syat.g_01330
OG0000054	Prac.g_00765	Syat.g_00987, Syat.g_03390
OG0000055	Prac.g_01495	Syat.g_00693
OG0000057	Prac.g_00673	Syat.g_00817, Syat.g_02055
OG0000058	Prac.g_00434	Syat.g_01189
OG0000059	Prac.g_00500	Syat.g_01832
OG0000061	Prac.g_00985	Syat.g_03260
OG0000062	Prac.g_00333	Syat.g_03107
OG0000063	Prac.g_01913, Prac.g_01914, Prac.g_00908	Syat.g_02303
OG0000065	Prac.g_01824	Syat.g_01571
OG0000066	Prac.g_00833	Syat.g_03283
OG0000067	Prac.g_01475	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874
OG0000068	Prac.g_00217	Syat.g_00085, Syat.g_01295
OG0000069	Prac.g_00890, Prac.g_00300	Syat.g_00090, Syat.g_00879
OG0000070	Prac.g_01097	Syat.g_01032, Syat.g_01040
OG0000071	Prac.g_00175	Syat.g_01153
OG0000072	Prac.g_01759	Syat.g_02856, Syat.g_01597
OG0000073	Prac.g_00872	Syat.g_03201
OG0000075	Prac.g_00017	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Prac.g_01904, Prac.g_00041	Syat.g_02206
OG0000077	Prac.g_01853	Syat.g_01481
OG0000078	Prac.g_01691	Syat.g_00184
OG0000081	Prac.g_00841	Syat.g_00980
OG0000082	Prac.g_00788	Syat.g_00035
OG0000085	Prac.g_00632	Syat.g_03113
OG0000086	Prac.g_01843	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Prac.g_01792	Syat.g_02912
OG0000088	Prac.g_01764	Syat.g_02862
OG0000089	Prac.g_01178	Syat.g_02953
OG0000090	Prac.g_00839	Syat.g_03270
OG0000091	Prac.g_00729	Syat.g_00939, Syat.g_00862
OG0000092	Prac.g_00003	Syat.g_00825
OG0000094	Prac.g_01275	Syat.g_00698, Syat.g_01034
OG0000095	Prac.g_01256	Syat.g_00808
OG0000097	Prac.g_00944	Syat.g_00907, Syat.g_00535
OG0000098	Prac.g_00199	Syat.g_03281
OG0000099	Prac.g_00256	Syat.g_02130
OG0000100	Prac.g_00337	Syat.g_00517
OG0000101	Prac.g_00548	Syat.g_01661
OG0000102	Prac.g_00046	Syat.g_00974
OG0000103	Prac.g_00123	Syat.g_02399
OG0000104	Prac.g_00131	Syat.g_02385
OG0000105	Prac.g_01657	Syat.g_02052
OG0000106	Prac.g_01163	Syat.g_00957
OG0000107	Prac.g_01148	Syat.g_02009, Syat.g_01862
OG0000108	Prac.g_01064	Syat.g_03170
OG0000109	Prac.g_01050	Syat.g_03187
OG0000110	Prac.g_00798	Syat.g_00049
OG0000111	Prac.g_00672	Syat.g_00816
OG0000112	Prac.g_01507	Syat.g_00593
OG0000113	Prac.g_01453	Syat.g_00509
OG0000114	Prac.g_01384	Syat.g_00426
OG0000115	Prac.g_01040	Syat.g_01328
OG0000116	Prac.g_00995	Syat.g_02641
OG0000117	Prac.g_01955	Syat.g_00224
OG0000118	Prac.g_00187	Syat.g_01168
OG0000119	Prac.g_00213	Syat.g_00309
OG0000120	Prac.g_00248	Syat.g_02132
OG0000121	Prac.g_00409	Syat.g_01223
OG0000123	Prac.g_00554	Syat.g_01653
OG0000124	Prac.g_00056	Syat.g_02231
OG0000125	Prac.g_00092	Syat.g_02684
OG0000126	Prac.g_00130	Syat.g_00976
OG0000128	Prac.g_01936	Syat.g_02331
OG0000129	Prac.g_01888	Syat.g_02693, Syat.g_02694
OG0000130	Prac.g_01862	Syat.g_01469
OG0000131	Prac.g_01785	Syat.g_02898
OG0000132	Prac.g_01766	Syat.g_02864
OG0000133	Prac.g_01609	Syat.g_00588
OG0000134	Prac.g_01177	Syat.g_02956
OG0000135	Prac.g_01150	Syat.g_02501
OG0000136	Prac.g_01106	Syat.g_01292
OG0000137	Prac.g_01069	Syat.g_01371
OG0000138	Prac.g_01049	Syat.g_03188
OG0000139	Prac.g_00835	Syat.g_03276
OG0000140	Prac.g_00834	Syat.g_03280
OG0000141	Prac.g_00764	Syat.g_03398
OG0000142	Prac.g_00736	Syat.g_00117
OG0000143	Prac.g_00732	Syat.g_00130
OG0000144	Prac.g_00719	Syat.g_00369
OG0000145	Prac.g_01508	Syat.g_03202
OG0000146	Prac.g_01506	Syat.g_00594
OG0000147	Prac.g_01505	Syat.g_00595
OG0000148	Prac.g_01459	Syat.g_00503
OG0000149	Prac.g_01429	Syat.g_00747
OG0000150	Prac.g_01421	Syat.g_03399
OG0000151	Prac.g_01374	Syat.g_00801, Syat.g_00440
OG0000152	Prac.g_01327	Syat.g_00578
OG0000153	Prac.g_01308	Syat.g_00542
OG0000154	Prac.g_01282	Syat.g_00708
OG0000155	Prac.g_00965	Syat.g_00287
OG0000156	Prac.g_00164	Syat.g_03228
OG0000157	Prac.g_00165	Syat.g_02012, Syat.g_03227
OG0000158	Prac.g_00447	Syat.g_02163
OG0000160	Prac.g_00410	Syat.g_01224
OG0000161	Prac.g_00404	Syat.g_01180
OG0000162	Prac.g_00398	Syat.g_01281
OG0000163	Prac.g_00364	Syat.g_02979
OG0000164	Prac.g_00601	Syat.g_03040
OG0000165	Prac.g_00594	Syat.g_03033
OG0000166	Prac.g_00512	Syat.g_01822
OG0000167	Prac.g_00015	Syat.g_02148
OG0000168	Prac.g_00025	Syat.g_02164
OG0000169	Prac.g_00035	Syat.g_02192
OG0000170	Prac.g_00037	Syat.g_02201
OG0000171	Prac.g_00055	Syat.g_02230
OG0000172	Prac.g_00063	Syat.g_02260
OG0000173	Prac.g_00078	Syat.g_02284
OG0000174	Prac.g_00105	Syat.g_02504
OG0000175	Prac.g_00115	Syat.g_02416
OG0000176	Prac.g_01943	Syat.g_02372
OG0000177	Prac.g_01942	Syat.g_02338
OG0000178	Prac.g_01941	Syat.g_02337
OG0000179	Prac.g_01931	Syat.g_02322
OG0000180	Prac.g_01930	Syat.g_02321
OG0000181	Prac.g_01929	Syat.g_02320
OG0000182	Prac.g_01928	Syat.g_02319
OG0000183	Prac.g_01924	Syat.g_02315
OG0000184	Prac.g_01885	Syat.g_02704
OG0000185	Prac.g_01882	Syat.g_02719
OG0000186	Prac.g_01867	Syat.g_01463
OG0000187	Prac.g_01866	Syat.g_01467
OG0000188	Prac.g_01849	Syat.g_01489
OG0000189	Prac.g_01835	Syat.g_00386, Syat.g_01557
OG0000190	Prac.g_01834	Syat.g_00330
OG0000191	Prac.g_01814	Syat.g_03344, Syat.g_02939
OG0000192	Prac.g_01810	Syat.g_02933
OG0000193	Prac.g_01784	Syat.g_02897
OG0000194	Prac.g_01781	Syat.g_02894
OG0000195	Prac.g_01779	Syat.g_02892
OG0000196	Prac.g_01769	Syat.g_02867
OG0000197	Prac.g_01768	Syat.g_02866
OG0000198	Prac.g_01767	Syat.g_02865
OG0000199	Prac.g_01760	Syat.g_02857
OG0000200	Prac.g_01746	Syat.g_02840
OG0000201	Prac.g_01738	Syat.g_02821
OG0000202	Prac.g_01737	Syat.g_02820
OG0000203	Prac.g_01736	Syat.g_02819
OG0000204	Prac.g_01735	Syat.g_02818
OG0000205	Prac.g_01728	Syat.g_02809
OG0000206	Prac.g_01723	Syat.g_02785
OG0000207	Prac.g_01721	Syat.g_02778
OG0000208	Prac.g_01720	Syat.g_02777
OG0000209	Prac.g_01711	Syat.g_02735
OG0000210	Prac.g_01710	Syat.g_02734
OG0000211	Prac.g_01697	Syat.g_01452
OG0000212	Prac.g_01690	Syat.g_01442
OG0000213	Prac.g_01674	Syat.g_01889
OG0000214	Prac.g_01664	Syat.g_02042
OG0000215	Prac.g_01639	Syat.g_02075
OG0000216	Prac.g_01637	Syat.g_02079
OG0000217	Prac.g_01634	Syat.g_02085
OG0000218	Prac.g_01632	Syat.g_02087
OG0000219	Prac.g_01631	Syat.g_02088
OG0000220	Prac.g_01630	Syat.g_02089
OG0000221	Prac.g_01629	Syat.g_02095
OG0000222	Prac.g_01621	Syat.g_02109
OG0000223	Prac.g_01608	Syat.g_02570
OG0000224	Prac.g_01606	Syat.g_02139
OG0000225	Prac.g_01188	Syat.g_01595
OG0000226	Prac.g_01184	Syat.g_01588
OG0000228	Prac.g_01179	Syat.g_02952
OG0000229	Prac.g_01111	Syat.g_02970
OG0000230	Prac.g_01109	Syat.g_02972
OG0000231	Prac.g_01098	Syat.g_01283
OG0000232	Prac.g_01089	Syat.g_01313
OG0000233	Prac.g_01082	Syat.g_01407
OG0000234	Prac.g_01068	Syat.g_01369
OG0000235	Prac.g_01065	Syat.g_03169
OG0000236	Prac.g_01051	Syat.g_03186
OG0000237	Prac.g_00865	Syat.g_03214
OG0000238	Prac.g_00859	Syat.g_03219
OG0000239	Prac.g_00847	Syat.g_01105
OG0000240	Prac.g_00846	Syat.g_01104
OG0000241	Prac.g_00842	Syat.g_00111
OG0000242	Prac.g_00840	Syat.g_01077
OG0000243	Prac.g_00829	Syat.g_00092
OG0000244	Prac.g_00826	Syat.g_00082
OG0000245	Prac.g_00824	Syat.g_00080
OG0000246	Prac.g_00820	Syat.g_00076
OG0000247	Prac.g_00810	Syat.g_00065
OG0000248	Prac.g_00808	Syat.g_00062
OG0000249	Prac.g_00806	Syat.g_00060
OG0000250	Prac.g_00801	Syat.g_00053
OG0000251	Prac.g_00782	Syat.g_00027
OG0000252	Prac.g_00778	Syat.g_00022
OG0000253	Prac.g_00777	Syat.g_00021
OG0000254	Prac.g_00760	Syat.g_03407
OG0000255	Prac.g_00754	Syat.g_02405
OG0000256	Prac.g_00744	Syat.g_03306
OG0000257	Prac.g_00741	Syat.g_00109
OG0000258	Prac.g_00728	Syat.g_00382
OG0000259	Prac.g_00711	Syat.g_00342
OG0000260	Prac.g_00708	Syat.g_00392
OG0000261	Prac.g_00706	Syat.g_00400
OG0000262	Prac.g_00702	Syat.g_00407
OG0000263	Prac.g_00690	Syat.g_00200
OG0000266	Prac.g_01550	Syat.g_00671
OG0000267	Prac.g_01539	Syat.g_00636
OG0000268	Prac.g_01538	Syat.g_00634
OG0000269	Prac.g_01480	Syat.g_00474, Syat.g_00126
OG0000270	Prac.g_01477	Syat.g_00477
OG0000271	Prac.g_01469	Syat.g_00485
OG0000272	Prac.g_01468	Syat.g_00486
OG0000273	Prac.g_01445	Syat.g_00520
OG0000274	Prac.g_01444	Syat.g_00521
OG0000275	Prac.g_01442	Syat.g_00718
OG0000276	Prac.g_01437	Syat.g_00725
OG0000277	Prac.g_01436	Syat.g_00738
OG0000278	Prac.g_01433	Syat.g_00741
OG0000279	Prac.g_01426	Syat.g_00755
OG0000280	Prac.g_01425	Syat.g_01669
OG0000281	Prac.g_01420	Syat.g_00960
OG0000282	Prac.g_01382	Syat.g_00431
OG0000283	Prac.g_01350	Syat.g_00620
OG0000284	Prac.g_01345	Syat.g_00614
OG0000285	Prac.g_01340	Syat.g_00607
OG0000286	Prac.g_01328	Syat.g_00579
OG0000287	Prac.g_01311	Syat.g_00550
OG0000288	Prac.g_01283	Syat.g_00709
OG0000289	Prac.g_01272	Syat.g_00695
OG0000290	Prac.g_01259	Syat.g_00805
OG0000291	Prac.g_01257	Syat.g_00807
OG0000292	Prac.g_01207	Syat.g_02388
OG0000293	Prac.g_00994	Syat.g_03241
OG0000294	Prac.g_00993	Syat.g_03248
OG0000295	Prac.g_00973	Syat.g_00297
OG0000296	Prac.g_00971	Syat.g_00295
OG0000297	Prac.g_00963	Syat.g_00226
OG0000298	Prac.g_00962	Syat.g_00225
OG0000299	Prac.g_00945	Syat.g_00910
OG0000300	Prac.g_00942	Syat.g_00904
OG0000301	Prac.g_00941	Syat.g_00903
OG0000302	Prac.g_00939	Syat.g_00901
OG0000303	Prac.g_00932	Syat.g_00892
OG0000304	Prac.g_00928	Syat.g_00885
OG0000305	Prac.g_00209	Syat.g_00809
OG0000306	Prac.g_00212	Syat.g_01704
OG0000307	Prac.g_00226	Syat.g_01304
OG0000308	Prac.g_00227	Syat.g_01306
OG0000309	Prac.g_00231	Syat.g_01417
OG0000310	Prac.g_00426	Syat.g_01246
OG0000311	Prac.g_00424	Syat.g_01242
OG0000312	Prac.g_00421	Syat.g_01237
OG0000313	Prac.g_00407	Syat.g_01183
OG0000314	Prac.g_00384	Syat.g_01341
OG0000315	Prac.g_00374	Syat.g_01351
OG0000316	Prac.g_00354	Syat.g_03082
OG0000317	Prac.g_00627	Syat.g_03120
OG0000318	Prac.g_00624	Syat.g_03125
OG0000319	Prac.g_00611	Syat.g_03055
OG0000320	Prac.g_00609	Syat.g_03053
OG0000321	Prac.g_00608	Syat.g_03052
OG0000322	Prac.g_00607	Syat.g_03051
OG0000323	Prac.g_00598	Syat.g_03038
OG0000324	Prac.g_00572	Syat.g_02998
OG0000325	Prac.g_00477	Syat.g_01861
OG0000326	Prac.g_00483	Syat.g_01854
OG0000327	Prac.g_00507	Syat.g_01827
OG0000328	Prac.g_00508	Syat.g_01826
OG0000329	Prac.g_00525	Syat.g_01808
OG0000330	Prac.g_00526	Syat.g_01807
OG0000331	Prac.g_00527	Syat.g_01806
OG0000332	Prac.g_00541	Syat.g_01790
OG0000333	Prac.g_00543	Syat.g_01787
OG0000334	Prac.g_00551	Syat.g_01657
OG0000335	Prac.g_00555	Syat.g_01652
OG0000336	Prac.g_00559	Syat.g_01648
OG0000337	Prac.g_00013	Syat.g_02144
OG0000338	Prac.g_00014	Syat.g_02146
OG0000339	Prac.g_00018	Syat.g_02155, Syat.g_01055
OG0000340	Prac.g_00026	Syat.g_02165
OG0000341	Prac.g_00028	Syat.g_02167
OG0000342	Prac.g_00029	Syat.g_02168
OG0000343	Prac.g_00030	Syat.g_02185
OG0000344	Prac.g_00033	Syat.g_02189
OG0000345	Prac.g_00038	Syat.g_02202
OG0000346	Prac.g_00042	Syat.g_02207
OG0000347	Prac.g_00057	Syat.g_02234
OG0000348	Prac.g_00066	Syat.g_02264
OG0000349	Prac.g_00083	Syat.g_02291
OG0000350	Prac.g_00101	Syat.g_01847
OG0000351	Prac.g_00118	Syat.g_02411
OG0000352	Prac.g_00119	Syat.g_02410
OG0000353	Prac.g_01948	Syat.g_00955, Syat.g_02377
OG0000355	Prac.g_01946	Syat.g_02375
OG0000356	Prac.g_01945	Syat.g_02374
OG0000357	Prac.g_01944	Syat.g_02373
OG0000358	Prac.g_01940	Syat.g_02336
OG0000359	Prac.g_01939	Syat.g_02334
OG0000360	Prac.g_01938	Syat.g_02333
OG0000361	Prac.g_01937	Syat.g_02332
OG0000362	Prac.g_01935	Syat.g_02330
OG0000363	Prac.g_01933	Syat.g_02328
OG0000364	Prac.g_01932	Syat.g_03122
OG0000365	Prac.g_01927	Syat.g_02318
OG0000366	Prac.g_01926	Syat.g_02317
OG0000367	Prac.g_01925	Syat.g_02316
OG0000368	Prac.g_01923	Syat.g_02314
OG0000369	Prac.g_01922	Syat.g_02313
OG0000370	Prac.g_01921	Syat.g_02312
OG0000371	Prac.g_01915	Syat.g_02304
OG0000372	Prac.g_01911	Syat.g_02298
OG0000373	Prac.g_01910	Syat.g_02297
OG0000374	Prac.g_01909	Syat.g_02296
OG0000375	Prac.g_01892	Syat.g_02295
OG0000376	Prac.g_01890	Syat.g_02293
OG0000377	Prac.g_01886	Syat.g_02695
OG0000378	Prac.g_01884	Syat.g_02715
OG0000379	Prac.g_01881	Syat.g_02720
OG0000380	Prac.g_01865	Syat.g_01468
OG0000381	Prac.g_01861	Syat.g_01470
OG0000382	Prac.g_01850	Syat.g_01488
OG0000383	Prac.g_01848	Syat.g_01521
OG0000384	Prac.g_01847	Syat.g_01522
OG0000385	Prac.g_01846	Syat.g_01523
OG0000386	Prac.g_01845	Syat.g_01524
OG0000387	Prac.g_01832	Syat.g_01561
OG0000388	Prac.g_01829	Syat.g_01565
OG0000389	Prac.g_01825	Syat.g_01569
OG0000390	Prac.g_01818	Syat.g_02945
OG0000391	Prac.g_01815	Syat.g_02940
OG0000392	Prac.g_01811	Syat.g_02934
OG0000393	Prac.g_01809	Syat.g_02931
OG0000394	Prac.g_01808	Syat.g_02930
OG0000395	Prac.g_01807	Syat.g_02929
OG0000396	Prac.g_01804	Syat.g_02927
OG0000397	Prac.g_01802	Syat.g_02925
OG0000398	Prac.g_01800	Syat.g_02920
OG0000399	Prac.g_01799	Syat.g_02919
OG0000400	Prac.g_01798	Syat.g_02918
OG0000401	Prac.g_01797	Syat.g_02917
OG0000402	Prac.g_01795	Syat.g_02915
OG0000403	Prac.g_01794	Syat.g_02914
OG0000404	Prac.g_01793	Syat.g_02913
OG0000405	Prac.g_01789	Syat.g_02900
OG0000406	Prac.g_01783	Syat.g_02896
OG0000407	Prac.g_01782	Syat.g_02895
OG0000408	Prac.g_01780	Syat.g_02893
OG0000409	Prac.g_01778	Syat.g_02891
OG0000410	Prac.g_01777	Syat.g_02890
OG0000411	Prac.g_01776	Syat.g_02889
OG0000412	Prac.g_01775	Syat.g_02888
OG0000413	Prac.g_01774	Syat.g_02886
OG0000414	Prac.g_01590, Prac.g_01773	Syat.g_02885
OG0000415	Prac.g_01772	Syat.g_02884
OG0000416	Prac.g_01771	Syat.g_02883
OG0000417	Prac.g_01770	Syat.g_02868
OG0000418	Prac.g_01765	Syat.g_02863
OG0000419	Prac.g_01763	Syat.g_02861
OG0000420	Prac.g_01762	Syat.g_02859
OG0000421	Prac.g_01757	Syat.g_02855
OG0000422	Prac.g_01756	Syat.g_02854
OG0000423	Prac.g_01755	Syat.g_02853
OG0000424	Prac.g_01754	Syat.g_02852
OG0000425	Prac.g_01753	Syat.g_02851
OG0000426	Prac.g_01752	Syat.g_02850
OG0000427	Prac.g_01751	Syat.g_02849
OG0000428	Prac.g_01749	Syat.g_02846
OG0000429	Prac.g_01748	Syat.g_02843
OG0000430	Prac.g_01747	Syat.g_02841
OG0000431	Prac.g_01745	Syat.g_02838
OG0000432	Prac.g_01742	Syat.g_02832
OG0000433	Prac.g_01741	Syat.g_02829
OG0000434	Prac.g_01740	Syat.g_02828
OG0000435	Prac.g_01739	Syat.g_02824
OG0000436	Prac.g_01734	Syat.g_02817
OG0000437	Prac.g_01733	Syat.g_02558
OG0000438	Prac.g_01732	Syat.g_02813
OG0000439	Prac.g_01730	Syat.g_02811
OG0000440	Prac.g_01729	Syat.g_02810
OG0000441	Prac.g_01726	Syat.g_02807
OG0000442	Prac.g_01725	Syat.g_02797
OG0000443	Prac.g_01724	Syat.g_02787
OG0000444	Prac.g_01719	Syat.g_02756
OG0000445	Prac.g_01718	Syat.g_02755
OG0000446	Prac.g_01717	Syat.g_02753
OG0000447	Prac.g_01716	Syat.g_02749
OG0000448	Prac.g_01715	Syat.g_02748
OG0000449	Prac.g_01714	Syat.g_02747
OG0000450	Prac.g_01713	Syat.g_02738
OG0000451	Prac.g_01712	Syat.g_02737
OG0000452	Prac.g_01709	Syat.g_02732
OG0000453	Prac.g_01708	Syat.g_02731
OG0000454	Prac.g_01707	Syat.g_02730
OG0000455	Prac.g_01706	Syat.g_02729
OG0000456	Prac.g_01705	Syat.g_02728
OG0000457	Prac.g_01704	Syat.g_02726
OG0000458	Prac.g_01703	Syat.g_02725
OG0000459	Prac.g_01702	Syat.g_02724
OG0000460	Prac.g_01695	Syat.g_01450
OG0000461	Prac.g_01688	Syat.g_01866
OG0000462	Prac.g_01686	Syat.g_01868
OG0000463	Prac.g_01685	Syat.g_01869
OG0000464	Prac.g_01684	Syat.g_01870
OG0000465	Prac.g_01683	Syat.g_01872
OG0000466	Prac.g_01680	Syat.g_01877
OG0000467	Prac.g_01679	Syat.g_01878
OG0000468	Prac.g_01678	Syat.g_01884
OG0000469	Prac.g_01669	Syat.g_02000
OG0000470	Prac.g_01667	Syat.g_02038
OG0000471	Prac.g_01666	Syat.g_02039
OG0000472	Prac.g_01665	Syat.g_02041
OG0000473	Prac.g_01663	Syat.g_02043
OG0000474	Prac.g_01662	Syat.g_02044
OG0000475	Prac.g_01661	Syat.g_02045
OG0000476	Prac.g_01660	Syat.g_02047
OG0000477	Prac.g_01656	Syat.g_02053
OG0000478	Prac.g_01655	Syat.g_02054
OG0000479	Prac.g_01654	Syat.g_02056
OG0000480	Prac.g_01649	Syat.g_02063
OG0000481	Prac.g_01647	Syat.g_02066
OG0000482	Prac.g_01646	Syat.g_02067
OG0000483	Prac.g_01643	Syat.g_02071
OG0000484	Prac.g_01642	Syat.g_02072
OG0000485	Prac.g_01641	Syat.g_02073
OG0000486	Prac.g_01640	Syat.g_02074
OG0000487	Prac.g_01636	Syat.g_02080
OG0000488	Prac.g_01633	Syat.g_02086
OG0000489	Prac.g_01628	Syat.g_02097
OG0000490	Prac.g_01623	Syat.g_02106
OG0000491	Prac.g_01622	Syat.g_02107
OG0000492	Prac.g_01620	Syat.g_02110
OG0000493	Prac.g_01619	Syat.g_02111
OG0000494	Prac.g_01618	Syat.g_02112
OG0000495	Prac.g_01617	Syat.g_02120
OG0000496	Prac.g_01616	Syat.g_02121
OG0000497	Prac.g_01615	Syat.g_02122
OG0000498	Prac.g_01614	Syat.g_02123
OG0000499	Prac.g_01613	Syat.g_02124
OG0000500	Prac.g_01612	Syat.g_02125
OG0000501	Prac.g_01610	Syat.g_02128
OG0000502	Prac.g_01607	Syat.g_02135
OG0000503	Prac.g_01200	Syat.g_01614
OG0000504	Prac.g_01199	Syat.g_01612
OG0000505	Prac.g_01198	Syat.g_01611
OG0000506	Prac.g_01196	Syat.g_01609
OG0000507	Prac.g_01193	Syat.g_01603
OG0000508	Prac.g_01189	Syat.g_01596
OG0000509	Prac.g_01187	Syat.g_01591
OG0000510	Prac.g_01186	Syat.g_01590
OG0000511	Prac.g_01185	Syat.g_01589
OG0000512	Prac.g_01183	Syat.g_01587
OG0000513	Prac.g_01176	Syat.g_02957
OG0000514	Prac.g_01116	Syat.g_02962
OG0000515	Prac.g_01115	Syat.g_02963
OG0000516	Prac.g_01114	Syat.g_02965
OG0000517	Prac.g_01112	Syat.g_02969
OG0000518	Prac.g_01101	Syat.g_01286
OG0000519	Prac.g_01100	Syat.g_01285
OG0000520	Prac.g_01099	Syat.g_01284
OG0000521	Prac.g_01094	Syat.g_01319
OG0000522	Prac.g_01092	Syat.g_01317
OG0000523	Prac.g_01091	Syat.g_01316
OG0000524	Prac.g_01084	Syat.g_01409
OG0000525	Prac.g_01081	Syat.g_01382
OG0000526	Prac.g_01080	Syat.g_01380
OG0000527	Prac.g_01071	Syat.g_01373
OG0000528	Prac.g_01066	Syat.g_03167
OG0000529	Prac.g_01063	Syat.g_03171
OG0000530	Prac.g_01060	Syat.g_03174
OG0000531	Prac.g_01059	Syat.g_03175
OG0000532	Prac.g_01057	Syat.g_03178
OG0000533	Prac.g_01056	Syat.g_03180
OG0000534	Prac.g_01055	Syat.g_03181
OG0000535	Prac.g_01054	Syat.g_03182
OG0000536	Prac.g_01053	Syat.g_03183
OG0000537	Prac.g_01052	Syat.g_03185
OG0000538	Prac.g_00871	Syat.g_03204
OG0000539	Prac.g_00870	Syat.g_03206
OG0000540	Prac.g_00869	Syat.g_03207
OG0000541	Prac.g_00868	Syat.g_03208
OG0000542	Prac.g_00866	Syat.g_03213
OG0000543	Prac.g_00864	Syat.g_03215
OG0000544	Prac.g_00863	Syat.g_03216
OG0000545	Prac.g_00861	Syat.g_03218
OG0000546	Prac.g_00858	Syat.g_03220
OG0000547	Prac.g_00857	Syat.g_03222
OG0000548	Prac.g_00856	Syat.g_03223
OG0000549	Prac.g_00854	Syat.g_01795
OG0000550	Prac.g_00849	Syat.g_01107
OG0000551	Prac.g_00845	Syat.g_01103
OG0000552	Prac.g_00844	Syat.g_01102
OG0000553	Prac.g_00843	Syat.g_01098
OG0000554	Prac.g_00838	Syat.g_03271
OG0000555	Prac.g_00830	Syat.g_00093
OG0000556	Prac.g_00828	Syat.g_00088
OG0000557	Prac.g_00827	Syat.g_00083
OG0000558	Prac.g_00825	Syat.g_00081
OG0000559	Prac.g_00821	Syat.g_00077
OG0000560	Prac.g_00818	Syat.g_00074
OG0000561	Prac.g_00817	Syat.g_00073
OG0000562	Prac.g_00816	Syat.g_00072
OG0000563	Prac.g_00815	Syat.g_00071
OG0000564	Prac.g_00814	Syat.g_00070
OG0000565	Prac.g_00811	Syat.g_00067
OG0000566	Prac.g_00809	Syat.g_00063
OG0000567	Prac.g_00805	Syat.g_00059
OG0000568	Prac.g_00804	Syat.g_00057
OG0000569	Prac.g_00803	Syat.g_00056
OG0000570	Prac.g_00802	Syat.g_00055
OG0000571	Prac.g_00800	Syat.g_00052
OG0000572	Prac.g_00787	Syat.g_00033
OG0000573	Prac.g_00780	Syat.g_00024
OG0000574	Prac.g_00779	Syat.g_00023
OG0000575	Prac.g_00775	Syat.g_00018
OG0000576	Prac.g_00772	Syat.g_00014
OG0000577	Prac.g_00771	Syat.g_00013
OG0000578	Prac.g_00770	Syat.g_00012
OG0000579	Prac.g_00769	Syat.g_00011
OG0000580	Prac.g_00768	Syat.g_00010
OG0000581	Prac.g_00766	Syat.g_00003
OG0000582	Prac.g_00763	Syat.g_03403
OG0000583	Prac.g_00762	Syat.g_03404
OG0000584	Prac.g_00761	Syat.g_03405
OG0000585	Prac.g_00759	Syat.g_03408
OG0000586	Prac.g_00758	Syat.g_03409
OG0000587	Prac.g_00757	Syat.g_00001
OG0000588	Prac.g_00753	Syat.g_00338
OG0000589	Prac.g_00750	Syat.g_03318
