Orthogroup	Prac	Syar
OG0000184	Prac.g_01885	Syar.g_00897
OG0000185	Prac.g_01882	Syar.g_00909
OG0000186	Prac.g_01867	Syar.g_03036
OG0000187	Prac.g_01866	Syar.g_03038
OG0000188	Prac.g_01849	Syar.g_03058
OG0000189	Prac.g_01835	Syar.g_03104
OG0000190	Prac.g_01834	Syar.g_03107, Syar.g_02374
OG0000191	Prac.g_01814	Syar.g_00039
OG0000192	Prac.g_01810	Syar.g_00046
OG0000193	Prac.g_01784	Syar.g_00079
OG0000194	Prac.g_01781	Syar.g_03236, Syar.g_00082
OG0000195	Prac.g_01779	Syar.g_00023, Syar.g_00084
OG0000196	Prac.g_01769	Syar.g_00096
OG0000197	Prac.g_01768	Syar.g_00097
OG0000198	Prac.g_01767	Syar.g_00098
OG0000199	Prac.g_01760	Syar.g_00106
OG0000200	Prac.g_01746	Syar.g_00124
OG0000201	Prac.g_01738	Syar.g_01000
OG0000202	Prac.g_01737	Syar.g_00998, Syar.g_00021
OG0000203	Prac.g_01736	Syar.g_00020, Syar.g_00997
OG0000204	Prac.g_01735	Syar.g_00996
OG0000205	Prac.g_01728	Syar.g_00988
OG0000206	Prac.g_01723	Syar.g_00963
OG0000207	Prac.g_01721	Syar.g_00957
OG0000208	Prac.g_01720	Syar.g_00956
OG0000209	Prac.g_01711	Syar.g_00936, Syar.g_03261
OG0000210	Prac.g_01710	Syar.g_00935, Syar.g_03260
OG0000211	Prac.g_01697	Syar.g_03026
OG0000212	Prac.g_01690	Syar.g_03017
OG0000213	Prac.g_01674	Syar.g_00187
OG0000214	Prac.g_01664	Syar.g_00209
OG0000215	Prac.g_01639	Syar.g_00239
OG0000216	Prac.g_01637	Syar.g_00244
OG0000217	Prac.g_01634	Syar.g_00854
OG0000218	Prac.g_01632	Syar.g_00852
OG0000219	Prac.g_01631	Syar.g_00851
OG0000220	Prac.g_01630	Syar.g_00850, Syar.g_02026
OG0000221	Prac.g_01629	Syar.g_00834
OG0000222	Prac.g_01621	Syar.g_02119, Syar.g_00728
OG0000223	Prac.g_01608	Syar.g_00649
OG0000224	Prac.g_01606	Syar.g_00762, Syar.g_00273
OG0000225	Prac.g_01188	Syar.g_01142
OG0000226	Prac.g_01184	Syar.g_01146
OG0000227	Prac.g_01182	Syar.g_01148
OG0000228	Prac.g_01179	Syar.g_01161
OG0000229	Prac.g_01111	Syar.g_01177, Syar.g_03273
OG0000230	Prac.g_01109	Syar.g_01179, Syar.g_03275
OG0000231	Prac.g_01098	Syar.g_02865, Syar.g_03151
OG0000232	Prac.g_01089	Syar.g_01424
OG0000233	Prac.g_01082	Syar.g_03183, Syar.g_01247
OG0000234	Prac.g_01068	Syar.g_01275
OG0000235	Prac.g_01065	Syar.g_01468
OG0000236	Prac.g_01051	Syar.g_03311, Syar.g_01484
OG0000237	Prac.g_00865	Syar.g_01503
OG0000238	Prac.g_00859	Syar.g_01508
OG0000239	Prac.g_00847	Syar.g_03277, Syar.g_02687
OG0000240	Prac.g_00846	Syar.g_03278, Syar.g_02686
OG0000241	Prac.g_00842	Syar.g_02410
OG0000242	Prac.g_00840	Syar.g_01926
OG0000243	Prac.g_00829	Syar.g_02335
OG0000244	Prac.g_00826	Syar.g_02327
OG0000245	Prac.g_00824	Syar.g_02325, Syar.g_03238
OG0000246	Prac.g_00820	Syar.g_02321
OG0000247	Prac.g_00810	Syar.g_02310
OG0000248	Prac.g_00808	Syar.g_02307, Syar.g_03293
OG0000249	Prac.g_00806	Syar.g_02305
OG0000250	Prac.g_00801	Syar.g_02299, Syar.g_03194
OG0000251	Prac.g_00782	Syar.g_03207, Syar.g_02194
OG0000252	Prac.g_00778	Syar.g_02189, Syar.g_03263
OG0000253	Prac.g_00777	Syar.g_02028, Syar.g_03229
OG0000254	Prac.g_00760	Syar.g_02169
OG0000255	Prac.g_00754	Syar.g_00011, Syar.g_02224
OG0000256	Prac.g_00744	Syar.g_02244
OG0000257	Prac.g_00741	Syar.g_02407, Syar.g_01762
OG0000258	Prac.g_00728	Syar.g_02427, Syar.g_00010
OG0000259	Prac.g_00711	Syar.g_02472
OG0000260	Prac.g_00708	Syar.g_03220, Syar.g_02475
OG0000261	Prac.g_00706	Syar.g_01916
OG0000262	Prac.g_00702	Syar.g_01690
OG0000263	Prac.g_00690	Syar.g_01991
OG0000264	Prac.g_00680	Syar.g_02135, Syar.g_03267
OG0000266	Prac.g_01550	Syar.g_01570
OG0000267	Prac.g_01539	Syar.g_01873
OG0000268	Prac.g_01538	Syar.g_02589
OG0000269	Prac.g_01480	Syar.g_02634
OG0000270	Prac.g_01477	Syar.g_00744, Syar.g_02637
OG0000271	Prac.g_01469	Syar.g_02645
OG0000272	Prac.g_01468	Syar.g_02646
OG0000273	Prac.g_01445	Syar.g_02481, Syar.g_00008
OG0000274	Prac.g_01444	Syar.g_00009, Syar.g_02482
OG0000275	Prac.g_01442	Syar.g_01810
OG0000276	Prac.g_01437	Syar.g_01817
OG0000277	Prac.g_01436	Syar.g_01818, Syar.g_03242
OG0000278	Prac.g_01433	Syar.g_01821, Syar.g_03174
OG0000279	Prac.g_01426	Syar.g_01838
OG0000280	Prac.g_01425	Syar.g_02067, Syar.g_00734
OG0000281	Prac.g_01420	Syar.g_02218
OG0000282	Prac.g_01382	Syar.g_01614, Syar.g_03255
OG0000283	Prac.g_01350	Syar.g_02574
OG0000284	Prac.g_01345	Syar.g_03258, Syar.g_02568
OG0000285	Prac.g_01340	Syar.g_02560
OG0000286	Prac.g_01328	Syar.g_02540
OG0000287	Prac.g_01311	Syar.g_02512
OG0000288	Prac.g_01283	Syar.g_01801
OG0000289	Prac.g_01272	Syar.g_03305, Syar.g_01786
OG0000290	Prac.g_01259	Syar.g_01928
OG0000291	Prac.g_01257	Syar.g_01930
OG0000292	Prac.g_01207	Syar.g_00463
OG0000293	Prac.g_00994	Syar.g_03297, Syar.g_01526
OG0000294	Prac.g_00993	Syar.g_01527, Syar.g_03296
OG0000295	Prac.g_00973	Syar.g_01951, Syar.g_03208
OG0000296	Prac.g_00971	Syar.g_01953
OG0000297	Prac.g_00963	Syar.g_01967, Syar.g_03216
OG0000298	Prac.g_00962	Syar.g_01968, Syar.g_03215
OG0000299	Prac.g_00945	Syar.g_01704
OG0000300	Prac.g_00942	Syar.g_01646, Syar.g_01711
OG0000301	Prac.g_00941	Syar.g_01712
OG0000302	Prac.g_00939	Syar.g_01713
OG0000303	Prac.g_00932	Syar.g_03136, Syar.g_01723
OG0000304	Prac.g_00928	Syar.g_01728
OG0000305	Prac.g_00209	Syar.g_01933, Syar.g_03163
OG0000306	Prac.g_00212	Syar.g_01884, Syar.g_03140
OG0000307	Prac.g_00226	Syar.g_01452, Syar.g_03153
OG0000308	Prac.g_00227	Syar.g_01450
OG0000309	Prac.g_00231	Syar.g_01239
OG0000310	Prac.g_00426	Syar.g_02826
OG0000311	Prac.g_00424	Syar.g_02823
OG0000312	Prac.g_00421	Syar.g_00015, Syar.g_02818
OG0000313	Prac.g_00407	Syar.g_02804
OG0000314	Prac.g_00384	Syar.g_01403
OG0000315	Prac.g_00374	Syar.g_01393
OG0000316	Prac.g_00354	Syar.g_02885
OG0000317	Prac.g_00627	Syar.g_02926
OG0000318	Prac.g_00624	Syar.g_02930
OG0000319	Prac.g_00611	Syar.g_02954
OG0000320	Prac.g_00609	Syar.g_02956
OG0000321	Prac.g_00608	Syar.g_02957
OG0000322	Prac.g_00607	Syar.g_02958
OG0000323	Prac.g_00598	Syar.g_02973
OG0000324	Prac.g_00572	Syar.g_00350, Syar.g_03001
OG0000325	Prac.g_00477	Syar.g_03291, Syar.g_00148
OG0000326	Prac.g_00483	Syar.g_00139, Syar.g_03134
OG0000327	Prac.g_00507	Syar.g_01029
OG0000328	Prac.g_00508	Syar.g_01030
OG0000329	Prac.g_00525	Syar.g_03189, Syar.g_01048
OG0000330	Prac.g_00526	Syar.g_03190, Syar.g_01049
OG0000331	Prac.g_00527	Syar.g_01050, Syar.g_03191
OG0000332	Prac.g_00541	Syar.g_01064, Syar.g_03299
OG0000333	Prac.g_00543	Syar.g_01067
OG0000334	Prac.g_00551	Syar.g_01076
OG0000335	Prac.g_00555	Syar.g_01080
OG0000336	Prac.g_00559	Syar.g_01084
OG0000337	Prac.g_00013	Syar.g_00285
OG0000338	Prac.g_00014	Syar.g_03225, Syar.g_00287
OG0000339	Prac.g_00018	Syar.g_00658
OG0000340	Prac.g_00026	Syar.g_00247
OG0000341	Prac.g_00028	Syar.g_00249
OG0000342	Prac.g_00029	Syar.g_00250
OG0000343	Prac.g_00030	Syar.g_00256
OG0000344	Prac.g_00033	Syar.g_00260
OG0000345	Prac.g_00038	Syar.g_00612
OG0000346	Prac.g_00042	Syar.g_00607
OG0000347	Prac.g_00057	Syar.g_00558
OG0000348	Prac.g_00066	Syar.g_00544
OG0000349	Prac.g_00083	Syar.g_00521
OG0000350	Prac.g_00101	Syar.g_00132
OG0000351	Prac.g_00118	Syar.g_00442
OG0000352	Prac.g_00119	Syar.g_00443
OG0000353	Prac.g_01948	Syar.g_00469
OG0000355	Prac.g_01946	Syar.g_00471
OG0000356	Prac.g_01945	Syar.g_00472
OG0000357	Prac.g_01944	Syar.g_00473
OG0000358	Prac.g_01940	Syar.g_00477
OG0000359	Prac.g_01939	Syar.g_00479
OG0000360	Prac.g_01938	Syar.g_00480
OG0000361	Prac.g_01937	Syar.g_00481
OG0000362	Prac.g_01935	Syar.g_00483
OG0000363	Prac.g_01933	Syar.g_00484
OG0000364	Prac.g_01932	Syar.g_02928
OG0000365	Prac.g_01927	Syar.g_00493
OG0000366	Prac.g_01926	Syar.g_00494
OG0000367	Prac.g_01925	Syar.g_03262, Syar.g_00495
OG0000368	Prac.g_01923	Syar.g_00497
OG0000369	Prac.g_01922	Syar.g_00498
OG0000370	Prac.g_01921	Syar.g_00499
OG0000371	Prac.g_01915	Syar.g_00508
OG0000372	Prac.g_01911	Syar.g_00514
OG0000373	Prac.g_01910	Syar.g_00515
OG0000374	Prac.g_01909	Syar.g_00516
OG0000375	Prac.g_01892	Syar.g_00517
OG0000376	Prac.g_01890	Syar.g_00519
OG0000377	Prac.g_01886	Syar.g_00322
OG0000378	Prac.g_01884	Syar.g_00905
OG0000379	Prac.g_01881	Syar.g_00910
OG0000380	Prac.g_01865	Syar.g_03039
OG0000381	Prac.g_01861	Syar.g_03041
OG0000382	Prac.g_01850	Syar.g_03057
OG0000383	Prac.g_01848	Syar.g_03074
OG0000384	Prac.g_01847	Syar.g_03075
OG0000385	Prac.g_01846	Syar.g_03076
OG0000386	Prac.g_01845	Syar.g_03077
OG0000387	Prac.g_01832	Syar.g_03109
OG0000388	Prac.g_01829	Syar.g_03148, Syar.g_03113
OG0000389	Prac.g_01825	Syar.g_03118
OG0000390	Prac.g_01818	Syar.g_00033
OG0000391	Prac.g_01815	Syar.g_00038
OG0000392	Prac.g_01811	Syar.g_00045
OG0000393	Prac.g_01809	Syar.g_00048
OG0000394	Prac.g_01808	Syar.g_00049
OG0000395	Prac.g_01807	Syar.g_00050
OG0000396	Prac.g_01804	Syar.g_00053
OG0000397	Prac.g_01802	Syar.g_00055
OG0000398	Prac.g_01800	Syar.g_00060
OG0000399	Prac.g_01799	Syar.g_00061
OG0000400	Prac.g_01798	Syar.g_00062
OG0000401	Prac.g_01797	Syar.g_00063
OG0000402	Prac.g_01795	Syar.g_00065
OG0000403	Prac.g_01794	Syar.g_00066
OG0000404	Prac.g_01793	Syar.g_00067
OG0000405	Prac.g_01789	Syar.g_00076
OG0000406	Prac.g_01783	Syar.g_00080
OG0000407	Prac.g_01782	Syar.g_00081
OG0000408	Prac.g_01780	Syar.g_00083
OG0000409	Prac.g_01778	Syar.g_00085
OG0000410	Prac.g_01777	Syar.g_00086
OG0000411	Prac.g_01776	Syar.g_00087
OG0000412	Prac.g_01775	Syar.g_00088
OG0000413	Prac.g_01774	Syar.g_00090
OG0000414	Prac.g_01590, Prac.g_01773	Syar.g_00091, Syar.g_03179
OG0000415	Prac.g_01772	Syar.g_00092
OG0000416	Prac.g_01771	Syar.g_00093
OG0000417	Prac.g_01770	Syar.g_00095
OG0000418	Prac.g_01765	Syar.g_00100
OG0000419	Prac.g_01763	Syar.g_00102
OG0000420	Prac.g_01762	Syar.g_00104
OG0000421	Prac.g_01757	Syar.g_00109
OG0000422	Prac.g_01756	Syar.g_00110
OG0000423	Prac.g_01755	Syar.g_00111
OG0000424	Prac.g_01754	Syar.g_00112
OG0000425	Prac.g_01753	Syar.g_00113
OG0000426	Prac.g_01752	Syar.g_00114
OG0000427	Prac.g_01751	Syar.g_00115
OG0000428	Prac.g_01749	Syar.g_00118
OG0000429	Prac.g_01748	Syar.g_00121
OG0000430	Prac.g_01747	Syar.g_00123
OG0000431	Prac.g_01745	Syar.g_00127
OG0000432	Prac.g_01742	Syar.g_01009
OG0000433	Prac.g_01741	Syar.g_01007
OG0000434	Prac.g_01740	Syar.g_01006
OG0000435	Prac.g_01739	Syar.g_01003
OG0000436	Prac.g_01734	Syar.g_00994
OG0000437	Prac.g_01733	Syar.g_00993
OG0000438	Prac.g_01732	Syar.g_00992
OG0000439	Prac.g_01730	Syar.g_00990
OG0000440	Prac.g_01729	Syar.g_00989
OG0000441	Prac.g_01726	Syar.g_00986
OG0000442	Prac.g_01725	Syar.g_00977
OG0000443	Prac.g_01724	Syar.g_00964
OG0000444	Prac.g_01719	Syar.g_00954
OG0000445	Prac.g_01718	Syar.g_00953
OG0000446	Prac.g_01717	Syar.g_00951
OG0000447	Prac.g_01716	Syar.g_00948
OG0000448	Prac.g_01715	Syar.g_00947
OG0000449	Prac.g_01714	Syar.g_00946
OG0000450	Prac.g_01713	Syar.g_00939
OG0000451	Prac.g_01712	Syar.g_00938
OG0000452	Prac.g_01709	Syar.g_00934
OG0000453	Prac.g_01708	Syar.g_00933
OG0000454	Prac.g_01707	Syar.g_00932
OG0000455	Prac.g_01706	Syar.g_00931
OG0000456	Prac.g_01705	Syar.g_00930
OG0000457	Prac.g_01704	Syar.g_00928
OG0000458	Prac.g_01703	Syar.g_00918
OG0000459	Prac.g_01702	Syar.g_00917
OG0000460	Prac.g_01695	Syar.g_03024
OG0000461	Prac.g_01688	Syar.g_00153
OG0000462	Prac.g_01686	Syar.g_00155
OG0000463	Prac.g_01685	Syar.g_00156
OG0000464	Prac.g_01684	Syar.g_00157
OG0000465	Prac.g_01683	Syar.g_00159
OG0000466	Prac.g_01680	Syar.g_00164
OG0000467	Prac.g_01679	Syar.g_00165
OG0000468	Prac.g_01678	Syar.g_00170
OG0000469	Prac.g_01669	Syar.g_00203
OG0000470	Prac.g_01667	Syar.g_00206
OG0000471	Prac.g_01666	Syar.g_00207
OG0000472	Prac.g_01665	Syar.g_00208
OG0000473	Prac.g_01663	Syar.g_00210
OG0000474	Prac.g_01662	Syar.g_00211
OG0000475	Prac.g_01661	Syar.g_00212
OG0000476	Prac.g_01660	Syar.g_00214
OG0000477	Prac.g_01656	Syar.g_00219
OG0000478	Prac.g_01655	Syar.g_00220
OG0000479	Prac.g_01654	Syar.g_00221
OG0000480	Prac.g_01649	Syar.g_00228
OG0000481	Prac.g_01647	Syar.g_00230
OG0000482	Prac.g_01646	Syar.g_00231
OG0000483	Prac.g_01643	Syar.g_00235
OG0000484	Prac.g_01642	Syar.g_00236
OG0000485	Prac.g_01641	Syar.g_00237
OG0000486	Prac.g_01640	Syar.g_00024, Syar.g_00238
OG0000487	Prac.g_01636	Syar.g_00245
OG0000488	Prac.g_01633	Syar.g_00853
OG0000489	Prac.g_01628	Syar.g_00833
OG0000490	Prac.g_01623	Syar.g_00823
OG0000491	Prac.g_01622	Syar.g_00822
OG0000492	Prac.g_01620	Syar.g_00727
OG0000493	Prac.g_01619	Syar.g_00726
OG0000494	Prac.g_01618	Syar.g_00725
OG0000495	Prac.g_01617	Syar.g_00724
OG0000496	Prac.g_01616	Syar.g_00723
OG0000497	Prac.g_01615	Syar.g_00722
OG0000498	Prac.g_01614	Syar.g_00721
OG0000499	Prac.g_01613	Syar.g_00720
OG0000500	Prac.g_01612	Syar.g_00719
OG0000501	Prac.g_01610	Syar.g_00716
OG0000502	Prac.g_01607	Syar.g_00275
OG0000503	Prac.g_01200	Syar.g_01118
OG0000504	Prac.g_01199	Syar.g_01120
OG0000505	Prac.g_01198	Syar.g_01121
OG0000506	Prac.g_01196	Syar.g_01123
OG0000507	Prac.g_01193	Syar.g_01129
OG0000508	Prac.g_01189	Syar.g_01141
OG0000509	Prac.g_01187	Syar.g_01143
OG0000510	Prac.g_01186	Syar.g_01144
OG0000511	Prac.g_01185	Syar.g_01145
OG0000512	Prac.g_01183	Syar.g_01147
OG0000513	Prac.g_01176	Syar.g_01166
OG0000514	Prac.g_01116	Syar.g_01169
OG0000515	Prac.g_01115	Syar.g_01170
OG0000516	Prac.g_01114	Syar.g_01172
OG0000517	Prac.g_01112	Syar.g_01176
OG0000518	Prac.g_01101	Syar.g_02868
OG0000519	Prac.g_01100	Syar.g_02867
OG0000520	Prac.g_01099	Syar.g_02866
OG0000521	Prac.g_01094	Syar.g_01419
OG0000522	Prac.g_01092	Syar.g_01421
OG0000523	Prac.g_01091	Syar.g_01422
OG0000524	Prac.g_01084	Syar.g_01244
OG0000525	Prac.g_01081	Syar.g_01263
OG0000526	Prac.g_01080	Syar.g_01266
OG0000527	Prac.g_01071	Syar.g_01271
OG0000528	Prac.g_01066	Syar.g_01466
OG0000529	Prac.g_01063	Syar.g_01470
OG0000530	Prac.g_01060	Syar.g_01473
OG0000531	Prac.g_01059	Syar.g_01474
OG0000532	Prac.g_01057	Syar.g_01477
OG0000533	Prac.g_01056	Syar.g_01479
OG0000534	Prac.g_01055	Syar.g_01480
OG0000535	Prac.g_01054	Syar.g_01481
OG0000536	Prac.g_01053	Syar.g_01482
OG0000537	Prac.g_01052	Syar.g_01483
OG0000538	Prac.g_00871	Syar.g_01496
OG0000539	Prac.g_00870	Syar.g_01497
OG0000540	Prac.g_00869	Syar.g_01498
OG0000541	Prac.g_00868	Syar.g_01499
OG0000542	Prac.g_00866	Syar.g_01502
OG0000543	Prac.g_00864	Syar.g_01504
OG0000544	Prac.g_00863	Syar.g_01505
OG0000545	Prac.g_00861	Syar.g_01507
OG0000546	Prac.g_00858	Syar.g_01509
OG0000547	Prac.g_00857	Syar.g_01511
OG0000548	Prac.g_00856	Syar.g_01512
OG0000549	Prac.g_00854	Syar.g_02693
OG0000550	Prac.g_00849	Syar.g_02689
OG0000551	Prac.g_00845	Syar.g_02684
OG0000552	Prac.g_00844	Syar.g_02683
OG0000553	Prac.g_00843	Syar.g_02679
OG0000554	Prac.g_00838	Syar.g_02352
OG0000555	Prac.g_00830	Syar.g_02336
OG0000556	Prac.g_00828	Syar.g_02332
OG0000557	Prac.g_00827	Syar.g_02328
OG0000558	Prac.g_00825	Syar.g_02326
OG0000559	Prac.g_00821	Syar.g_02322
