Orthogroup	Prbe	Prax
OG0000047	Prbe.g_01549	Prax.g_00200
OG0000049	Prbe.g_00351	Prax.g_01823
OG0000050	Prbe.g_01714	Prax.g_01052
OG0000051	Prbe.g_00062	Prax.g_00813
OG0000053	Prbe.g_01214	Prax.g_00485
OG0000054	Prbe.g_00007, Prbe.g_00993	Prax.g_01566
OG0000055	Prbe.g_00774	Prax.g_01394
OG0000056	Prbe.g_00132	Prax.g_00282, Prax.g_00458
OG0000057	Prbe.g_01705	Prax.g_01061
OG0000058	Prbe.g_00740	Prax.g_00803
OG0000059	Prbe.g_00596, Prbe.g_01114	Prax.g_00662
OG0000060	Prbe.g_01427	Prax.g_00452
OG0000061	Prbe.g_00494	Prax.g_00457
OG0000062	Prbe.g_01245	Prax.g_00351
OG0000065	Prbe.g_01789	Prax.g_00981, Prax.g_01581
OG0000066	Prbe.g_00658	Prax.g_00727
OG0000067	Prbe.g_01206	Prax.g_00944
OG0000070	Prbe.g_01297	Prax.g_01204
OG0000071	Prbe.g_01522	Prax.g_01959
OG0000072	Prbe.g_00893	Prax.g_01899
OG0000074	Prbe.g_00353	Prax.g_01832
OG0000075	Prbe.g_00836	Prax.g_01338
OG0000077	Prbe.g_01076	Prax.g_01974
OG0000078	Prbe.g_01875	Prax.g_01783, Prax.g_00853, Prax.g_00852
OG0000079	Prbe.g_00911	Prax.g_00792
OG0000080	Prbe.g_01449	Prax.g_00973
OG0000081	Prbe.g_00466	Prax.g_00951
OG0000082	Prbe.g_01229	Prax.g_00366
OG0000083	Prbe.g_01570	Prax.g_00501, Prax.g_00530, Prax.g_00301
OG0000084	Prbe.g_01350	Prax.g_01129
OG0000085	Prbe.g_01594	Prax.g_01254, Prax.g_01759
OG0000086	Prbe.g_00041	Prax.g_00161
OG0000090	Prbe.g_00350	Prax.g_01825
OG0000091	Prbe.g_00303	Prax.g_01720
OG0000092	Prbe.g_00714	Prax.g_01600
OG0000093	Prbe.g_01094	Prax.g_01286
OG0000094	Prbe.g_00840	Prax.g_01335
OG0000095	Prbe.g_00802	Prax.g_01368
OG0000096	Prbe.g_01150	Prax.g_01439
OG0000098	Prbe.g_01068	Prax.g_01493
OG0000099	Prbe.g_00123	Prax.g_00290
OG0000101	Prbe.g_00152	Prax.g_00624
OG0000102	Prbe.g_01657	Prax.g_01106
OG0000103	Prbe.g_01666	Prax.g_01097
OG0000104	Prbe.g_01683	Prax.g_01079
OG0000105	Prbe.g_01718	Prax.g_01048
OG0000106	Prbe.g_01732	Prax.g_01034
OG0000107	Prbe.g_01741	Prax.g_01026
OG0000108	Prbe.g_01751	Prax.g_01016
OG0000109	Prbe.g_01792	Prax.g_00979
OG0000110	Prbe.g_01804	Prax.g_00488, Prax.g_00924
OG0000111	Prbe.g_01828	Prax.g_00901
OG0000113	Prbe.g_01852	Prax.g_00878
OG0000114	Prbe.g_01878	Prax.g_00848
OG0000115	Prbe.g_00659	Prax.g_00728
OG0000116	Prbe.g_00657	Prax.g_00726
OG0000117	Prbe.g_00653	Prax.g_00722
OG0000118	Prbe.g_00633	Prax.g_00702
OG0000119	Prbe.g_00603	Prax.g_00669
OG0000120	Prbe.g_00602	Prax.g_00668
OG0000121	Prbe.g_00592	Prax.g_00004
OG0000122	Prbe.g_00583	Prax.g_00013
OG0000123	Prbe.g_00551	Prax.g_00044
OG0000124	Prbe.g_01468	Prax.g_00110
OG0000125	Prbe.g_01467	Prax.g_00111
OG0000126	Prbe.g_01466	Prax.g_00112
OG0000127	Prbe.g_00461	Prax.g_00956
OG0000128	Prbe.g_01216	Prax.g_00483
OG0000129	Prbe.g_01417	Prax.g_00463
OG0000130	Prbe.g_01314	Prax.g_00388
OG0000131	Prbe.g_01220	Prax.g_00375
OG0000132	Prbe.g_01257	Prax.g_00339
OG0000133	Prbe.g_00434	Prax.g_00578
OG0000134	Prbe.g_01448	Prax.g_00588
OG0000135	Prbe.g_01354	Prax.g_01133
OG0000136	Prbe.g_01300	Prax.g_01201
OG0000137	Prbe.g_00044	Prax.g_00164
OG0000139	Prbe.g_01543	Prax.g_00206
OG0000140	Prbe.g_00501	Prax.g_00257
OG0000141	Prbe.g_00215	Prax.g_01789
OG0000142	Prbe.g_00880	Prax.g_01887
OG0000143	Prbe.g_00373	Prax.g_01863
OG0000144	Prbe.g_00323	Prax.g_01746
OG0000145	Prbe.g_00310	Prax.g_01727
OG0000146	Prbe.g_00274	Prax.g_01691
OG0000147	Prbe.g_00227	Prax.g_01651
OG0000148	Prbe.g_00226	Prax.g_01650
OG0000149	Prbe.g_00988	Prax.g_01561
OG0000150	Prbe.g_00949	Prax.g_01523
OG0000151	Prbe.g_00946	Prax.g_01520
OG0000152	Prbe.g_00926	Prax.g_01257
OG0000153	Prbe.g_01088	Prax.g_01297
OG0000154	Prbe.g_00842	Prax.g_01333
OG0000155	Prbe.g_00823	Prax.g_01351
OG0000156	Prbe.g_00790	Prax.g_01379
OG0000157	Prbe.g_00746	Prax.g_01411
OG0000158	Prbe.g_01189	Prax.g_01473
OG0000160	Prbe.g_01066	Prax.g_01491
OG0000161	Prbe.g_01067	Prax.g_01492
OG0000162	Prbe.g_01069	Prax.g_01494
OG0000163	Prbe.g_01070	Prax.g_01495
OG0000164	Prbe.g_01071	Prax.g_01496
OG0000165	Prbe.g_01072	Prax.g_01497
OG0000166	Prbe.g_01073	Prax.g_01498
OG0000167	Prbe.g_01074	Prax.g_01499
OG0000168	Prbe.g_01075	Prax.g_01975
OG0000169	Prbe.g_01077	Prax.g_01973
OG0000170	Prbe.g_00114	Prax.g_00299
OG0000171	Prbe.g_00115	Prax.g_00298
OG0000172	Prbe.g_00116	Prax.g_00297
OG0000173	Prbe.g_00117	Prax.g_00296
OG0000174	Prbe.g_00118	Prax.g_00295
OG0000175	Prbe.g_00119	Prax.g_00294
OG0000176	Prbe.g_00120	Prax.g_00293
OG0000177	Prbe.g_00121	Prax.g_00292
OG0000178	Prbe.g_00122	Prax.g_00291
OG0000179	Prbe.g_00124	Prax.g_00289
OG0000180	Prbe.g_00125	Prax.g_00288
OG0000181	Prbe.g_00126	Prax.g_00287
OG0000182	Prbe.g_00127	Prax.g_00286
OG0000183	Prbe.g_00128	Prax.g_00285
OG0000184	Prbe.g_00130	Prax.g_00284
OG0000185	Prbe.g_00133	Prax.g_00281
OG0000186	Prbe.g_00136	Prax.g_00278
OG0000187	Prbe.g_00137	Prax.g_00277
OG0000188	Prbe.g_00138	Prax.g_00276
OG0000189	Prbe.g_00140	Prax.g_00273
OG0000190	Prbe.g_00142	Prax.g_00271
OG0000191	Prbe.g_00144	Prax.g_00270
OG0000192	Prbe.g_00145	Prax.g_00269
OG0000193	Prbe.g_00146	Prax.g_00261
OG0000194	Prbe.g_00149	Prax.g_00621
OG0000195	Prbe.g_00150	Prax.g_00622
OG0000196	Prbe.g_00151	Prax.g_00623
OG0000197	Prbe.g_00153	Prax.g_00625
OG0000198	Prbe.g_00154	Prax.g_00626
OG0000199	Prbe.g_00156	Prax.g_00627
OG0000200	Prbe.g_00168	Prax.g_00635
OG0000201	Prbe.g_00169	Prax.g_00636
OG0000202	Prbe.g_00170	Prax.g_00637
OG0000203	Prbe.g_00174	Prax.g_00640
OG0000204	Prbe.g_00175	Prax.g_00641
OG0000205	Prbe.g_00178	Prax.g_00644
OG0000206	Prbe.g_00180	Prax.g_00646
OG0000207	Prbe.g_00182	Prax.g_00648
OG0000208	Prbe.g_00183	Prax.g_00649
OG0000209	Prbe.g_00066	Prax.g_00650
OG0000210	Prbe.g_00184	Prax.g_00651
OG0000211	Prbe.g_00185	Prax.g_00652
OG0000212	Prbe.g_00186	Prax.g_00653
OG0000213	Prbe.g_00187	Prax.g_00654
OG0000214	Prbe.g_00188	Prax.g_00655
OG0000215	Prbe.g_00189	Prax.g_00656
OG0000216	Prbe.g_00190	Prax.g_00657
OG0000217	Prbe.g_00192	Prax.g_00659
OG0000218	Prbe.g_00193	Prax.g_00660
OG0000219	Prbe.g_01630	Prax.g_01128
OG0000220	Prbe.g_01631	Prax.g_01127
OG0000221	Prbe.g_01634	Prax.g_01124
OG0000222	Prbe.g_01635	Prax.g_01123
OG0000223	Prbe.g_01636	Prax.g_01122
OG0000224	Prbe.g_01638	Prax.g_01121
OG0000225	Prbe.g_01639	Prax.g_01120
OG0000226	Prbe.g_01640	Prax.g_01119
OG0000227	Prbe.g_01642	Prax.g_01118
OG0000228	Prbe.g_01643	Prax.g_01117
OG0000229	Prbe.g_01644	Prax.g_01116
OG0000230	Prbe.g_01645	Prax.g_01115
OG0000231	Prbe.g_01646	Prax.g_01114
OG0000232	Prbe.g_01647	Prax.g_01113
OG0000233	Prbe.g_01649	Prax.g_01112
OG0000234	Prbe.g_01650	Prax.g_01111
OG0000235	Prbe.g_01651	Prax.g_01110
OG0000236	Prbe.g_01654	Prax.g_01109
OG0000237	Prbe.g_01655	Prax.g_01108
OG0000238	Prbe.g_01656	Prax.g_01107
OG0000239	Prbe.g_01658	Prax.g_01105
OG0000240	Prbe.g_01659	Prax.g_01103
OG0000241	Prbe.g_01660	Prax.g_01102
OG0000242	Prbe.g_01661	Prax.g_01101
OG0000243	Prbe.g_01664	Prax.g_01098
OG0000244	Prbe.g_01667	Prax.g_01096
OG0000245	Prbe.g_01668	Prax.g_01095
OG0000246	Prbe.g_01669	Prax.g_01094
OG0000247	Prbe.g_01671	Prax.g_01091
OG0000248	Prbe.g_01673	Prax.g_01089
OG0000249	Prbe.g_01675	Prax.g_01088
OG0000250	Prbe.g_01676	Prax.g_01087
OG0000251	Prbe.g_01677	Prax.g_01086
OG0000252	Prbe.g_01678	Prax.g_01085
OG0000253	Prbe.g_01679	Prax.g_01084
OG0000254	Prbe.g_01412	Prax.g_01082
OG0000255	Prbe.g_01681	Prax.g_01081
OG0000256	Prbe.g_01684	Prax.g_01078
OG0000257	Prbe.g_01686	Prax.g_01076
OG0000258	Prbe.g_01692	Prax.g_01073
OG0000259	Prbe.g_01693	Prax.g_01072
OG0000260	Prbe.g_01694	Prax.g_01071
OG0000261	Prbe.g_01695	Prax.g_01070
OG0000262	Prbe.g_01696	Prax.g_01069
OG0000263	Prbe.g_01698	Prax.g_01067
OG0000264	Prbe.g_01699	Prax.g_01066
OG0000265	Prbe.g_01700	Prax.g_01065
OG0000266	Prbe.g_01701	Prax.g_01064
OG0000267	Prbe.g_01702	Prax.g_01063
OG0000268	Prbe.g_01704	Prax.g_01062
OG0000269	Prbe.g_01706	Prax.g_01060
OG0000270	Prbe.g_01707	Prax.g_01059
OG0000271	Prbe.g_01708	Prax.g_01058
OG0000272	Prbe.g_01709	Prax.g_01057
OG0000273	Prbe.g_01710	Prax.g_01056
OG0000274	Prbe.g_01711	Prax.g_01055
OG0000275	Prbe.g_01712	Prax.g_01054
OG0000276	Prbe.g_01713	Prax.g_01053
OG0000277	Prbe.g_01715	Prax.g_01051
OG0000278	Prbe.g_01716	Prax.g_01050
OG0000279	Prbe.g_01717	Prax.g_01049
OG0000280	Prbe.g_01719	Prax.g_01047
OG0000281	Prbe.g_01721	Prax.g_01045
OG0000282	Prbe.g_01722	Prax.g_01044
OG0000283	Prbe.g_01723	Prax.g_01043
OG0000284	Prbe.g_01724	Prax.g_01042
OG0000285	Prbe.g_01725	Prax.g_01041
OG0000286	Prbe.g_01726	Prax.g_01040
OG0000287	Prbe.g_01727	Prax.g_01039
OG0000288	Prbe.g_01729	Prax.g_01037
OG0000289	Prbe.g_01730	Prax.g_01036
OG0000290	Prbe.g_01731	Prax.g_01035
OG0000291	Prbe.g_01733	Prax.g_01033
OG0000292	Prbe.g_01735	Prax.g_01032
OG0000293	Prbe.g_01736	Prax.g_01031
OG0000294	Prbe.g_01737	Prax.g_01030
OG0000295	Prbe.g_01738	Prax.g_01029
OG0000296	Prbe.g_01739	Prax.g_01028
OG0000297	Prbe.g_01740	Prax.g_01027
OG0000298	Prbe.g_01742	Prax.g_01025
OG0000299	Prbe.g_01743	Prax.g_01024
OG0000300	Prbe.g_01744	Prax.g_01023
OG0000301	Prbe.g_01745	Prax.g_01022
OG0000302	Prbe.g_01746	Prax.g_01021
OG0000303	Prbe.g_01747	Prax.g_01020
OG0000304	Prbe.g_01749	Prax.g_01018
OG0000305	Prbe.g_01750	Prax.g_01017
OG0000306	Prbe.g_01753	Prax.g_01014
OG0000307	Prbe.g_01754	Prax.g_01013
OG0000308	Prbe.g_01755	Prax.g_01012
OG0000309	Prbe.g_01756	Prax.g_01011
OG0000310	Prbe.g_01757	Prax.g_01010
OG0000311	Prbe.g_01759	Prax.g_01009
OG0000312	Prbe.g_01760	Prax.g_01008
OG0000313	Prbe.g_01761	Prax.g_01007
OG0000314	Prbe.g_01762	Prax.g_01006
OG0000315	Prbe.g_01763	Prax.g_01005
OG0000316	Prbe.g_01764	Prax.g_01004
OG0000317	Prbe.g_01765	Prax.g_01003
OG0000318	Prbe.g_01766	Prax.g_01002
OG0000319	Prbe.g_01767	Prax.g_01001
OG0000320	Prbe.g_01768	Prax.g_01000
OG0000321	Prbe.g_01769	Prax.g_00999
OG0000322	Prbe.g_01770	Prax.g_00998
OG0000323	Prbe.g_01771	Prax.g_00997
OG0000324	Prbe.g_01772	Prax.g_00996
OG0000325	Prbe.g_01773	Prax.g_00995
OG0000326	Prbe.g_01774	Prax.g_00994
OG0000327	Prbe.g_01775	Prax.g_00993
OG0000328	Prbe.g_01777	Prax.g_00992
OG0000329	Prbe.g_01778	Prax.g_00991
OG0000330	Prbe.g_01779	Prax.g_00990
OG0000331	Prbe.g_01781	Prax.g_00989
OG0000332	Prbe.g_01782	Prax.g_00988
OG0000333	Prbe.g_01783	Prax.g_00987
OG0000334	Prbe.g_01784	Prax.g_00986
OG0000335	Prbe.g_01785	Prax.g_00985
OG0000336	Prbe.g_01787	Prax.g_00983
OG0000337	Prbe.g_01788	Prax.g_00982
OG0000338	Prbe.g_01793	Prax.g_00978
OG0000339	Prbe.g_01795	Prax.g_00933
OG0000340	Prbe.g_01797	Prax.g_00931
OG0000341	Prbe.g_01798	Prax.g_00930
OG0000342	Prbe.g_01799	Prax.g_00929
OG0000343	Prbe.g_01800	Prax.g_00928
OG0000344	Prbe.g_01803	Prax.g_00925
OG0000345	Prbe.g_01807	Prax.g_00922
OG0000346	Prbe.g_01808	Prax.g_00921
OG0000347	Prbe.g_01811	Prax.g_00918
OG0000348	Prbe.g_01812	Prax.g_00916
OG0000349	Prbe.g_01813	Prax.g_00915
OG0000350	Prbe.g_01815	Prax.g_00913
OG0000351	Prbe.g_01816	Prax.g_00912
OG0000352	Prbe.g_01817	Prax.g_00911
OG0000353	Prbe.g_01818	Prax.g_00910
OG0000354	Prbe.g_01820	Prax.g_00909
OG0000355	Prbe.g_01821	Prax.g_00908
OG0000356	Prbe.g_01822	Prax.g_00907
OG0000357	Prbe.g_01823	Prax.g_00906
OG0000358	Prbe.g_01824	Prax.g_00905
OG0000359	Prbe.g_01826	Prax.g_00904
OG0000360	Prbe.g_01829	Prax.g_00900
OG0000361	Prbe.g_01830	Prax.g_00899
OG0000362	Prbe.g_01831	Prax.g_00898
OG0000363	Prbe.g_01832	Prax.g_00897
OG0000364	Prbe.g_01836	Prax.g_00893
OG0000365	Prbe.g_01837	Prax.g_00892
OG0000366	Prbe.g_01840	Prax.g_00890
OG0000367	Prbe.g_01841	Prax.g_00889
OG0000368	Prbe.g_01842	Prax.g_00888
OG0000369	Prbe.g_01843	Prax.g_00887
OG0000370	Prbe.g_01844	Prax.g_00886
OG0000371	Prbe.g_01846	Prax.g_00885
OG0000372	Prbe.g_01847	Prax.g_00884
OG0000373	Prbe.g_01848	Prax.g_00883
OG0000374	Prbe.g_01849	Prax.g_00881
OG0000375	Prbe.g_01850	Prax.g_00880
OG0000376	Prbe.g_01853	Prax.g_00877
OG0000377	Prbe.g_01854	Prax.g_00876
OG0000378	Prbe.g_01855	Prax.g_00875
OG0000379	Prbe.g_01856	Prax.g_00874
OG0000380	Prbe.g_01857	Prax.g_00873
OG0000381	Prbe.g_01858	Prax.g_00872
OG0000382	Prbe.g_01859	Prax.g_00871
OG0000383	Prbe.g_01860	Prax.g_00870
OG0000384	Prbe.g_01862	Prax.g_00867
OG0000385	Prbe.g_01863	Prax.g_00866
OG0000386	Prbe.g_01864	Prax.g_00865
OG0000387	Prbe.g_01865	Prax.g_00864
OG0000388	Prbe.g_01866	Prax.g_00863
OG0000389	Prbe.g_01867	Prax.g_00862
OG0000390	Prbe.g_01868	Prax.g_00861
OG0000391	Prbe.g_01869	Prax.g_00860
OG0000392	Prbe.g_01870	Prax.g_00859
OG0000393	Prbe.g_01871	Prax.g_00858
OG0000394	Prbe.g_01872	Prax.g_00857
OG0000395	Prbe.g_01873	Prax.g_00856
OG0000396	Prbe.g_01874	Prax.g_00854
OG0000397	Prbe.g_01876	Prax.g_00850
OG0000398	Prbe.g_01877	Prax.g_00849
OG0000399	Prbe.g_01879	Prax.g_00846
OG0000400	Prbe.g_01885	Prax.g_00845
OG0000401	Prbe.g_01886	Prax.g_00844
OG0000402	Prbe.g_01892	Prax.g_00839
OG0000403	Prbe.g_01894	Prax.g_00838
OG0000404	Prbe.g_01895	Prax.g_00837
OG0000405	Prbe.g_01896	Prax.g_00835
OG0000406	Prbe.g_01899	Prax.g_00832
OG0000407	Prbe.g_01900	Prax.g_00831
OG0000408	Prbe.g_01903	Prax.g_00828
OG0000409	Prbe.g_01904	Prax.g_00827
OG0000410	Prbe.g_01905	Prax.g_00826
OG0000411	Prbe.g_01906	Prax.g_00825
OG0000412	Prbe.g_01907	Prax.g_00824
OG0000413	Prbe.g_01908	Prax.g_00823
OG0000414	Prbe.g_01909	Prax.g_00822
OG0000415	Prbe.g_01910	Prax.g_00821
OG0000416	Prbe.g_01914	Prax.g_00818
OG0000417	Prbe.g_01915	Prax.g_00817
OG0000418	Prbe.g_01917	Prax.g_00816
OG0000419	Prbe.g_01918	Prax.g_00815
OG0000420	Prbe.g_01277	Prax.g_00814
OG0000421	Prbe.g_01593	Prax.g_00802
OG0000422	Prbe.g_01033	Prax.g_00795
OG0000423	Prbe.g_01588	Prax.g_00794
OG0000424	Prbe.g_00921	Prax.g_00790
OG0000425	Prbe.g_01929	Prax.g_00769
OG0000426	Prbe.g_01930	Prax.g_00768
OG0000427	Prbe.g_01931	Prax.g_00767
OG0000428	Prbe.g_01933	Prax.g_00765
OG0000429	Prbe.g_01934	Prax.g_00764
OG0000430	Prbe.g_01936	Prax.g_00762
OG0000431	Prbe.g_01937	Prax.g_00761
OG0000432	Prbe.g_01938	Prax.g_00760
OG0000433	Prbe.g_01939	Prax.g_00759
OG0000434	Prbe.g_01940	Prax.g_00758
OG0000435	Prbe.g_01941	Prax.g_00757
OG0000436	Prbe.g_01942	Prax.g_00756
OG0000437	Prbe.g_01943	Prax.g_00755
OG0000438	Prbe.g_01944	Prax.g_00754
OG0000439	Prbe.g_01945	Prax.g_00753
OG0000440	Prbe.g_01946	Prax.g_00752
OG0000441	Prbe.g_01947	Prax.g_00751
OG0000442	Prbe.g_01948	Prax.g_00750
OG0000443	Prbe.g_01949	Prax.g_00749
OG0000444	Prbe.g_01950	Prax.g_00748
OG0000445	Prbe.g_00676	Prax.g_00747
OG0000446	Prbe.g_00674	Prax.g_00746
OG0000447	Prbe.g_00673	Prax.g_00745
OG0000448	Prbe.g_00672	Prax.g_00743
OG0000449	Prbe.g_00668	Prax.g_00740
OG0000450	Prbe.g_00667	Prax.g_00739
OG0000451	Prbe.g_00666	Prax.g_00738
OG0000452	Prbe.g_00664	Prax.g_00737
OG0000453	Prbe.g_00663	Prax.g_00736
OG0000454	Prbe.g_00662	Prax.g_00731
OG0000455	Prbe.g_00660	Prax.g_00729
OG0000456	Prbe.g_00656	Prax.g_00725
OG0000457	Prbe.g_00655	Prax.g_00724
OG0000458	Prbe.g_00654	Prax.g_00723
OG0000459	Prbe.g_00652	Prax.g_00721
OG0000460	Prbe.g_00650	Prax.g_00719
OG0000461	Prbe.g_00649	Prax.g_00718
OG0000462	Prbe.g_00648	Prax.g_00717
OG0000463	Prbe.g_00646	Prax.g_00715
OG0000464	Prbe.g_00645	Prax.g_00714
OG0000465	Prbe.g_00644	Prax.g_00713
OG0000466	Prbe.g_00643	Prax.g_00712
OG0000467	Prbe.g_00642	Prax.g_00711
OG0000468	Prbe.g_00641	Prax.g_00709
OG0000469	Prbe.g_00640	Prax.g_00708
OG0000470	Prbe.g_00639	Prax.g_00707
OG0000471	Prbe.g_00638	Prax.g_00706
OG0000472	Prbe.g_00632	Prax.g_00701
OG0000473	Prbe.g_00631	Prax.g_00700
OG0000474	Prbe.g_00630	Prax.g_00699
OG0000475	Prbe.g_00629	Prax.g_00698
OG0000476	Prbe.g_00628	Prax.g_00696
OG0000477	Prbe.g_00627	Prax.g_00695
OG0000478	Prbe.g_00626	Prax.g_00694
OG0000479	Prbe.g_00625	Prax.g_00693
OG0000480	Prbe.g_00623	Prax.g_00691
OG0000481	Prbe.g_00621	Prax.g_00689
OG0000482	Prbe.g_00620	Prax.g_00688
OG0000483	Prbe.g_00618	Prax.g_00686
OG0000484	Prbe.g_00617	Prax.g_00685
OG0000485	Prbe.g_00616	Prax.g_00684
OG0000486	Prbe.g_00615	Prax.g_00683
OG0000487	Prbe.g_00611	Prax.g_00678
OG0000488	Prbe.g_00610	Prax.g_00676
OG0000489	Prbe.g_00609	Prax.g_00675
OG0000490	Prbe.g_00608	Prax.g_00674
OG0000491	Prbe.g_00607	Prax.g_00673
OG0000492	Prbe.g_00606	Prax.g_00672
OG0000493	Prbe.g_00605	Prax.g_00671
OG0000494	Prbe.g_00604	Prax.g_00670
OG0000495	Prbe.g_00601	Prax.g_00667
OG0000496	Prbe.g_00600	Prax.g_00666
OG0000497	Prbe.g_00599	Prax.g_00665
OG0000498	Prbe.g_00598	Prax.g_00664
OG0000499	Prbe.g_00597	Prax.g_00663
OG0000500	Prbe.g_00595	Prax.g_00001
OG0000501	Prbe.g_00594	Prax.g_00002
OG0000502	Prbe.g_00593	Prax.g_00003
OG0000503	Prbe.g_00591	Prax.g_00005
OG0000504	Prbe.g_00590	Prax.g_00006
OG0000505	Prbe.g_00589	Prax.g_00007
OG0000506	Prbe.g_00588	Prax.g_00008
OG0000507	Prbe.g_00587	Prax.g_00009
OG0000508	Prbe.g_00586	Prax.g_00010
OG0000509	Prbe.g_00585	Prax.g_00011
OG0000510	Prbe.g_00584	Prax.g_00012
OG0000511	Prbe.g_00582	Prax.g_00014
OG0000512	Prbe.g_00581	Prax.g_00015
OG0000513	Prbe.g_00580	Prax.g_00016
OG0000514	Prbe.g_00579	Prax.g_00017
OG0000515	Prbe.g_00578	Prax.g_00018
OG0000516	Prbe.g_00577	Prax.g_00019
OG0000517	Prbe.g_00576	Prax.g_00021
OG0000518	Prbe.g_00575	Prax.g_00022
OG0000519	Prbe.g_00573	Prax.g_00023
OG0000520	Prbe.g_00571	Prax.g_00024
OG0000521	Prbe.g_00570	Prax.g_00025
OG0000522	Prbe.g_00569	Prax.g_00026
OG0000523	Prbe.g_00568	Prax.g_00027
OG0000524	Prbe.g_00567	Prax.g_00028
OG0000525	Prbe.g_00566	Prax.g_00029
OG0000526	Prbe.g_00565	Prax.g_00030
OG0000527	Prbe.g_00564	Prax.g_00031
OG0000528	Prbe.g_00563	Prax.g_00032
OG0000529	Prbe.g_00562	Prax.g_00033
OG0000530	Prbe.g_00561	Prax.g_00034
OG0000531	Prbe.g_00560	Prax.g_00035
OG0000532	Prbe.g_00559	Prax.g_00036
OG0000533	Prbe.g_00557	Prax.g_00038
OG0000534	Prbe.g_00556	Prax.g_00039
OG0000535	Prbe.g_00555	Prax.g_00040
OG0000536	Prbe.g_00554	Prax.g_00041
OG0000537	Prbe.g_00553	Prax.g_00042
OG0000538	Prbe.g_00552	Prax.g_00043
OG0000539	Prbe.g_00548	Prax.g_00046
OG0000540	Prbe.g_00547	Prax.g_00047
OG0000541	Prbe.g_00546	Prax.g_00048
OG0000542	Prbe.g_00543	Prax.g_00050
OG0000543	Prbe.g_00542	Prax.g_00051
OG0000544	Prbe.g_00541	Prax.g_00052
OG0000545	Prbe.g_00540	Prax.g_00053
OG0000546	Prbe.g_00539	Prax.g_00054
OG0000547	Prbe.g_00538	Prax.g_00055
OG0000548	Prbe.g_00537	Prax.g_00056
OG0000549	Prbe.g_00535	Prax.g_00058
OG0000550	Prbe.g_00534	Prax.g_00059
OG0000551	Prbe.g_00533	Prax.g_00060
OG0000552	Prbe.g_00532	Prax.g_00061
OG0000553	Prbe.g_00531	Prax.g_00062
OG0000554	Prbe.g_00530	Prax.g_00063
OG0000555	Prbe.g_00528	Prax.g_00064
OG0000556	Prbe.g_00527	Prax.g_00065
OG0000557	Prbe.g_00526	Prax.g_00066
OG0000558	Prbe.g_00525	Prax.g_00067
OG0000559	Prbe.g_00524	Prax.g_00068
OG0000560	Prbe.g_00523	Prax.g_00069
OG0000561	Prbe.g_00522	Prax.g_00070
OG0000562	Prbe.g_00521	Prax.g_00071
OG0000563	Prbe.g_00520	Prax.g_00072
OG0000564	Prbe.g_00519	Prax.g_00073
OG0000565	Prbe.g_00518	Prax.g_00074
OG0000566	Prbe.g_00517	Prax.g_00075
OG0000567	Prbe.g_00516	Prax.g_00076
OG0000568	Prbe.g_00515	Prax.g_00077
OG0000569	Prbe.g_00513	Prax.g_00080
OG0000570	Prbe.g_00512	Prax.g_00081
